source_file,species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
1,uncultured Bacillus sp.,8,NA,NA,NA,NA,NA,NA
1,Bacillus fonticola,3,NA,NA,NA,NA,NA,NA
1,Bacillus pumilus,4,NA,NA,NA,NA,NA,NA
1,Bacillus safensis,3,NA,NA,NA,NA,NA,NA
1,Bacillus swezeyi,1,NA,NA,NA,NA,NA,NA
1,Bacillus smithii,1,NA,NA,NA,NA,NA,NA
1,Priestia megaterium,2,NA,NA,NA,NA,NA,NA
1,Priestia aryabhattai,1,NA,NA,NA,NA,NA,NA
1,Priestia koreensis,1,NA,NA,NA,NA,NA,NA
1,Heyndrickxia coagulans,2,NA,NA,NA,NA,NA,NA
1,Heyndrickxia vini,1,NA,NA,NA,NA,NA,NA
1,Rossellomorea sp. FM04394,1,NA,NA,NA,NA,NA,NA
1,Rossellomorea sp. AcN35-11,1,NA,NA,NA,NA,NA,NA
1,Metabacillus endolithicus,2,NA,NA,NA,NA,NA,NA
1,Psychrobacillus sp. FSL H8-0483,2,NA,NA,NA,NA,NA,NA
1,Cytobacillus kochii,1,NA,NA,NA,NA,NA,NA
1,Niallia circulans,1,NA,NA,NA,NA,NA,NA
1,Halalkalibacter krulwichiae,1,NA,NA,NA,NA,NA,NA
1,Mesobacillus jeotgali,1,NA,NA,NA,NA,NA,NA
1,Ornithinibacillus sp. FSL M8-0202,1,NA,NA,NA,NA,NA,NA
1,Neobacillus sp. DY30,1,NA,NA,NA,NA,NA,NA
1,Ectobacillus sp. JY-23,1,NA,NA,NA,NA,NA,NA
1,Salipaludibacillus sp. LMS25,1,NA,NA,NA,NA,NA,NA
1,Staphylococcus aureus,25913,NA,NA,NA,NA,NA,NA
1,Staphylococcus argenteus,22,NA,NA,NA,NA,NA,NA
1,Staphylococcus schweitzeri,16,NA,NA,NA,NA,NA,NA
1,Staphylococcus saprophyticus,14,NA,NA,NA,NA,NA,NA
1,Staphylococcus epidermidis,11,NA,NA,NA,NA,NA,NA
1,Staphylococcus simiae,9,NA,NA,NA,NA,NA,NA
1,Staphylococcus pseudintermedius,8,NA,NA,NA,NA,NA,NA
1,Staphylococcus hominis,7,NA,NA,NA,NA,NA,NA
1,Staphylococcus saccharolyticus,5,NA,NA,NA,NA,NA,NA
1,Staphylococcus warneri,6,NA,NA,NA,NA,NA,NA
1,Staphylococcus taiwanensis,4,NA,NA,NA,NA,NA,NA
1,Staphylococcus lugdunensis,4,NA,NA,NA,NA,NA,NA
1,Staphylococcus simulans,3,NA,NA,NA,NA,NA,NA
1,Staphylococcus chromogenes,3,NA,NA,NA,NA,NA,NA
1,Staphylococcus edaphicus,3,NA,NA,NA,NA,NA,NA
1,Staphylococcus equorum,5,NA,NA,NA,NA,NA,NA
1,Staphylococcus haemolyticus,2,NA,NA,NA,NA,NA,NA
1,Staphylococcus devriesei,2,NA,NA,NA,NA,NA,NA
1,Staphylococcus pasteuri,2,NA,NA,NA,NA,NA,NA
1,Staphylococcus ratti,2,NA,NA,NA,NA,NA,NA
1,Staphylococcus capitis,2,NA,NA,NA,NA,NA,NA
1,Staphylococcus lloydii,2,NA,NA,NA,NA,NA,NA
1,Staphylococcus cohnii,1,NA,NA,NA,NA,NA,NA
1,Staphylococcus arlettae,1,NA,NA,NA,NA,NA,NA
1,Staphylococcus schleiferi,1,NA,NA,NA,NA,NA,NA
1,Staphylococcus xylosus,1,NA,NA,NA,NA,NA,NA
1,Staphylococcus caprae,1,NA,NA,NA,NA,NA,NA
1,Staphylococcus pettenkoferi,1,NA,NA,NA,NA,NA,NA
1,Staphylococcus casei,1,NA,NA,NA,NA,NA,NA
1,Staphylococcus hsinchuensis,1,NA,NA,NA,NA,NA,NA
1,Staphylococcus massiliensis,1,NA,NA,NA,NA,NA,NA
1,Staphylococcus agnetis,1,NA,NA,NA,NA,NA,NA
1,Staphylococcus shinii,1,NA,NA,NA,NA,NA,NA
1,Staphylococcus debuckii,1,NA,NA,NA,NA,NA,NA
1,Mammaliicoccus sp. Marseille-Q6498,2,NA,NA,NA,NA,NA,NA
1,Mammaliicoccus vitulinus,1,NA,NA,NA,NA,NA,NA
1,Macrococcus brunensis,1,NA,NA,NA,NA,NA,NA
1,Listeria monocytogenes,24816,NA,NA,NA,NA,NA,NA
1,Listeria innocua,158,NA,NA,NA,NA,NA,NA
1,Listeria welshimeri,52,NA,NA,NA,NA,NA,NA
1,Listeria swaminathanii,49,NA,NA,NA,NA,NA,NA
1,Listeria seeligeri,26,NA,NA,NA,NA,NA,NA
1,Listeria ivanovii,21,NA,NA,NA,NA,NA,NA
1,uncultured Listeria sp.,4,NA,NA,NA,NA,NA,NA
1,Listeria weihenstephanensis,3,NA,NA,NA,NA,NA,NA
1,Listeria grayi,3,NA,NA,NA,NA,NA,NA
1,Listeria newyorkensis,1,NA,NA,NA,NA,NA,NA
1,Paenisporosarcina antarctica,1,NA,NA,NA,NA,NA,NA
1,Paenisporosarcina macmurdoensis,13,NA,NA,NA,NA,NA,NA
1,Solibacillus isronensis,12,NA,NA,NA,NA,NA,NA
1,Sporosarcina sp. Te-1,1,NA,NA,NA,NA,NA,NA
1,Sporosarcina ureae,1,NA,NA,NA,NA,NA,NA
1,Kurthia sp. wang_05,1,NA,NA,NA,NA,NA,NA
1,Paenibacillus sp. FSL W8-0194,13,NA,NA,NA,NA,NA,NA
1,Paenibacillus sp. FSL K6-1217,2,NA,NA,NA,NA,NA,NA
1,Paenibacillus sabinae,1,NA,NA,NA,NA,NA,NA
1,Brevibacillus laterosporus,4,NA,NA,NA,NA,NA,NA
1,Cohnella abietis,2,NA,NA,NA,NA,NA,NA
1,Pasteuria ramosa,1,NA,NA,NA,NA,NA,NA
1,Enterococcus faecalis,35820,NA,NA,NA,NA,NA,NA
1,Enterococcus sp. 9D6_DIV0238,7,NA,NA,NA,NA,NA,NA
1,Enterococcus sp. DIV0212c,4,NA,NA,NA,NA,NA,NA
1,Enterococcus sp. 12C11_DIV0727,3,NA,NA,NA,NA,NA,NA
1,Enterococcus sp. DIV1094,3,NA,NA,NA,NA,NA,NA
1,Enterococcus sp. 7F3_DIV0205,2,NA,NA,NA,NA,NA,NA
1,Enterococcus sp. 9E7_DIV0242,2,NA,NA,NA,NA,NA,NA
1,Enterococcus sp. DA9,31,NA,NA,NA,NA,NA,NA
1,Enterococcus sp. DIV2402,1,NA,NA,NA,NA,NA,NA
1,Enterococcus sp. DIV0849a,1,NA,NA,NA,NA,NA,NA
1,Enterococcus sp. PLM3,16,NA,NA,NA,NA,NA,NA
1,Enterococcus rotai,7,NA,NA,NA,NA,NA,NA
1,Enterococcus silesiacus,7,NA,NA,NA,NA,NA,NA
1,Enterococcus faecium,8,NA,NA,NA,NA,NA,NA
1,Enterococcus durans,4,NA,NA,NA,NA,NA,NA
1,Enterococcus dispar,4,NA,NA,NA,NA,NA,NA
1,Enterococcus cecorum,3,NA,NA,NA,NA,NA,NA
1,Enterococcus avium,3,NA,NA,NA,NA,NA,NA
1,Enterococcus raffinosus,2,NA,NA,NA,NA,NA,NA
1,Enterococcus devriesei,2,NA,NA,NA,NA,NA,NA
1,Enterococcus casseliflavus,2,NA,NA,NA,NA,NA,NA
1,Enterococcus saccharolyticus,1,NA,NA,NA,NA,NA,NA
1,Enterococcus saigonensis,1,NA,NA,NA,NA,NA,NA
1,Enterococcus wangshanyuanii,1,NA,NA,NA,NA,NA,NA
1,Enterococcus mundtii,1,NA,NA,NA,NA,NA,NA
1,Vagococcus carniphilus,3,NA,NA,NA,NA,NA,NA
1,Vagococcus xieshaowenii,1,NA,NA,NA,NA,NA,NA
1,Vagococcus jeotgali,1,NA,NA,NA,NA,NA,NA
1,Melissococcus plutonius,1,NA,NA,NA,NA,NA,NA
1,Limosilactobacillus fermentum,17907,NA,NA,NA,NA,NA,NA
1,Limosilactobacillus reuteri,2,NA,NA,NA,NA,NA,NA
1,Lactiplantibacillus plantarum,6,NA,NA,NA,NA,NA,NA
1,Lactiplantibacillus pentosus,2,NA,NA,NA,NA,NA,NA
1,Lactobacillus delbrueckii,3,NA,NA,NA,NA,NA,NA
1,Lactobacillus crispatus,1,NA,NA,NA,NA,NA,NA
1,Pediococcus acidilactici,1,NA,NA,NA,NA,NA,NA
1,Pediococcus damnosus,1,NA,NA,NA,NA,NA,NA
1,Pediococcus pentosaceus,1,NA,NA,NA,NA,NA,NA
1,Ligilactobacillus agilis,1,NA,NA,NA,NA,NA,NA
1,Ligilactobacillus salivarius,1,NA,NA,NA,NA,NA,NA
1,Ligilactobacillus murinus,1,NA,NA,NA,NA,NA,NA
1,Leuconostoc mesenteroides,2,NA,NA,NA,NA,NA,NA
1,Lentilactobacillus kefiri,2,NA,NA,NA,NA,NA,NA
1,Weissella cibaria,1,NA,NA,NA,NA,NA,NA
1,Weissella confusa,1,NA,NA,NA,NA,NA,NA
1,Fructobacillus fructosus,1,NA,NA,NA,NA,NA,NA
1,Levilactobacillus zymae,1,NA,NA,NA,NA,NA,NA
1,Apilactobacillus kunkeei,1,NA,NA,NA,NA,NA,NA
1,Streptococcus thermophilus,2,NA,NA,NA,NA,NA,NA
1,Streptococcus infantis,1,NA,NA,NA,NA,NA,NA
1,Streptococcus uberis,1,NA,NA,NA,NA,NA,NA
1,Streptococcus suis,1,NA,NA,NA,NA,NA,NA
1,Streptococcus sanguinis,1,NA,NA,NA,NA,NA,NA
1,Streptococcus nidrosiense,1,NA,NA,NA,NA,NA,NA
1,Aerococcaceae bacterium zg-252,1,NA,NA,NA,NA,NA,NA
1,Aerococcaceae bacterium zg-1292,1,NA,NA,NA,NA,NA,NA
1,Aerococcus urinaeequi,2,NA,NA,NA,NA,NA,NA
1,Ignavigranum ruoffiae,1,NA,NA,NA,NA,NA,NA
1,Desemzia incerta,1,NA,NA,NA,NA,NA,NA
1,Carnobacterium viridans,1,NA,NA,NA,NA,NA,NA
1,Carnobacteriaceae bacterium zg-C25,1,NA,NA,NA,NA,NA,NA
1,Clostridium sp.,1,NA,NA,NA,NA,NA,NA
1,Clostridium perfringens,1,NA,NA,NA,NA,NA,NA
1,Clostridium cochlearium,1,NA,NA,NA,NA,NA,NA
1,Clostridium estertheticum,1,NA,NA,NA,NA,NA,NA
1,uncultured Peptococcaceae bacterium,1,NA,NA,NA,NA,NA,NA
1,Desulfofundulus kuznetsovii,1,NA,NA,NA,NA,NA,NA
1,Desulfofarcimen acetoxidans,1,NA,NA,NA,NA,NA,NA
1,Acididesulfobacillus acetoxydans,1,NA,NA,NA,NA,NA,NA
1,Hominenteromicrobium mulieris,1,NA,NA,NA,NA,NA,NA
1,Ruthenibacterium lactatiformans,1,NA,NA,NA,NA,NA,NA
1,uncultured Faecalibacterium sp.,1,NA,NA,NA,NA,NA,NA
1,Caproicibacter fermentans,1,NA,NA,NA,NA,NA,NA
1,Desulfitobacterium metallireducens,1,NA,NA,NA,NA,NA,NA
1,Lachnospiraceae bacterium,2,NA,NA,NA,NA,NA,NA
1,Blautia producta,1,NA,NA,NA,NA,NA,NA
1,Roseburia sp. 499,1,NA,NA,NA,NA,NA,NA
1,Hungatella hathewayi,1,NA,NA,NA,NA,NA,NA
1,Lacrimispora xylanisolvens,1,NA,NA,NA,NA,NA,NA
1,Helicovermis profundi,1,NA,NA,NA,NA,NA,NA
1,Aedoeadaptatus ivorii,2,NA,NA,NA,NA,NA,NA
1,Negativicoccus massiliensis,1,NA,NA,NA,NA,NA,NA
1,Streptomyces sp. NBC_00191,1,NA,NA,NA,NA,NA,NA
1,Streptomyces sp. Je 1-332,1,NA,NA,NA,NA,NA,NA
1,Streptomyces sp. GMY02,1,NA,NA,NA,NA,NA,NA
1,Streptomyces sp. GS7,1,NA,NA,NA,NA,NA,NA
1,Streptomyces sp. NBC_01518,1,NA,NA,NA,NA,NA,NA
1,Streptomyces sp. fd1-xmd,1,NA,NA,NA,NA,NA,NA
1,Streptomyces sp. NBC_00820,1,NA,NA,NA,NA,NA,NA
1,Streptomyces sp. ITFR-21,1,NA,NA,NA,NA,NA,NA
1,Streptomyces sp. R39,1,NA,NA,NA,NA,NA,NA
1,Streptomyces sp. NBC_01335,1,NA,NA,NA,NA,NA,NA
1,Streptomyces sp. R33,1,NA,NA,NA,NA,NA,NA
1,Streptomyces sp. NBC_00513,1,NA,NA,NA,NA,NA,NA
1,Streptomyces sp. SirexAA-E,1,NA,NA,NA,NA,NA,NA
1,Streptomyces tirandamycinicus,1,NA,NA,NA,NA,NA,NA
1,Streptomyces pluripotens,1,NA,NA,NA,NA,NA,NA
1,Streptomyces prunicolor,1,NA,NA,NA,NA,NA,NA
1,Streptomyces albus,1,NA,NA,NA,NA,NA,NA
1,Kitasatospora sp. HUAS MG31,1,NA,NA,NA,NA,NA,NA
1,Streptacidiphilus sp. P02-A3a,1,NA,NA,NA,NA,NA,NA
1,Arthrobacter sp. CJ23,1,NA,NA,NA,NA,NA,NA
1,Arthrobacter sp. UKPF54-2,1,NA,NA,NA,NA,NA,NA
1,Arthrobacter sp. StoSoilB5,1,NA,NA,NA,NA,NA,NA
1,Paenarthrobacter nicotinovorans,1,NA,NA,NA,NA,NA,NA
1,Glutamicibacter mishrai,1,NA,NA,NA,NA,NA,NA
1,Sinomonas sp. R1AF57,1,NA,NA,NA,NA,NA,NA
1,Microcella flavibacter,1,NA,NA,NA,NA,NA,NA
1,Clavibacter capsici,1,NA,NA,NA,NA,NA,NA
1,Curtobacterium sp. MCPF17_002,1,NA,NA,NA,NA,NA,NA
1,Nocardioides sp. JS614,1,NA,NA,NA,NA,NA,NA
1,Nocardioides aquaticus,1,NA,NA,NA,NA,NA,NA
1,Nocardioides faecalis,1,NA,NA,NA,NA,NA,NA
1,Microlunatus sagamiharensis,1,NA,NA,NA,NA,NA,NA
1,Kribbella qitaiheensis,1,NA,NA,NA,NA,NA,NA
1,Tsukamurella pulmonis,1,NA,NA,NA,NA,NA,NA
1,Gordonia terrae,1,NA,NA,NA,NA,NA,NA
1,Mycobacterium sp. ITM-2016-00317,1,NA,NA,NA,NA,NA,NA
1,Corynebacterium kefirresidentii,1,NA,NA,NA,NA,NA,NA
1,Nocardiopsis sp. HUAS JQ3,1,NA,NA,NA,NA,NA,NA
1,Thermobifida halotolerans,1,NA,NA,NA,NA,NA,NA
1,Actinomadura rugatobispora,1,NA,NA,NA,NA,NA,NA
1,Bifidobacterium actinocoloniiforme,1,NA,NA,NA,NA,NA,NA
1,Bifidobacterium dentium,1,NA,NA,NA,NA,NA,NA
1,Bifidobacterium angulatum,1,NA,NA,NA,NA,NA,NA
1,Saccharopolyspora spinosa,1,NA,NA,NA,NA,NA,NA
1,Saccharopolyspora erythraea,1,NA,NA,NA,NA,NA,NA
1,uncultured Actinomycetes bacterium,1,NA,NA,NA,NA,NA,NA
1,Trueperella pyogenes,1,NA,NA,NA,NA,NA,NA
1,uncultured Acidimicrobiaceae bacterium,1,NA,NA,NA,NA,NA,NA
1,Prochlorococcus marinus,1,NA,NA,NA,NA,NA,NA
1,Nodosilinea sp. LVE1205-7,1,NA,NA,NA,NA,NA,NA
1,Gloeotrichia echinulata,1,NA,NA,NA,NA,NA,NA
1,Moorena producens,1,NA,NA,NA,NA,NA,NA
1,Mycoplasmopsis bovirhinis,2,NA,NA,NA,NA,NA,NA
1,Caldilinea aerophila,1,NA,NA,NA,NA,NA,NA
1,Dehalococcoidia bacterium,1,NA,NA,NA,NA,NA,NA
1,Salmonella enterica,52820,NA,NA,NA,NA,NA,NA
1,Salmonella sp. WGH-01,54,NA,NA,NA,NA,NA,NA
1,Salmonella sp. SJTUF15606,168,NA,NA,NA,NA,NA,NA
1,Salmonella sp. SA14318,5,NA,NA,NA,NA,NA,NA
1,Salmonella sp. SSDFZ54,42,NA,NA,NA,NA,NA,NA
1,Salmonella sp.,10,NA,NA,NA,NA,NA,NA
1,Salmonella bongori,50,NA,NA,NA,NA,NA,NA
1,Escherichia coli,34482,NA,NA,NA,NA,NA,NA
1,Escherichia albertii,63,NA,NA,NA,NA,NA,NA
1,Escherichia sp. E4742,27,NA,NA,NA,NA,NA,NA
1,Escherichia sp. KS167_9B,20,NA,NA,NA,NA,NA,NA
1,Escherichia marmotae,43,NA,NA,NA,NA,NA,NA
1,Escherichia fergusonii,47,NA,NA,NA,NA,NA,NA
1,Shigella flexneri,1391,NA,NA,NA,NA,NA,NA
1,Shigella dysenteriae,174,NA,NA,NA,NA,NA,NA
1,Shigella boydii,335,NA,NA,NA,NA,NA,NA
1,Shigella sonnei,88,NA,NA,NA,NA,NA,NA
1,Klebsiella pneumoniae,181,NA,NA,NA,NA,NA,NA
1,Klebsiella quasipneumoniae,21,NA,NA,NA,NA,NA,NA
1,Klebsiella variicola,4,NA,NA,NA,NA,NA,NA
1,Klebsiella aerogenes,12,NA,NA,NA,NA,NA,NA
1,Klebsiella sp. P1CD1,3,NA,NA,NA,NA,NA,NA
1,Klebsiella huaxiensis,3,NA,NA,NA,NA,NA,NA
1,Klebsiella michiganensis,2,NA,NA,NA,NA,NA,NA
1,Klebsiella africana,2,NA,NA,NA,NA,NA,NA
1,Klebsiella oxytoca,2,NA,NA,NA,NA,NA,NA
1,Raoultella ornithinolytica,7,NA,NA,NA,NA,NA,NA
1,Raoultella planticola,2,NA,NA,NA,NA,NA,NA
1,Raoultella terrigena,1,NA,NA,NA,NA,NA,NA
1,Citrobacter freundii,25,NA,NA,NA,NA,NA,NA
1,Citrobacter braakii,22,NA,NA,NA,NA,NA,NA
1,Citrobacter freundii complex sp. CFNIH9,4,NA,NA,NA,NA,NA,NA
1,Citrobacter portucalensis,10,NA,NA,NA,NA,NA,NA
1,Citrobacter werkmanii,7,NA,NA,NA,NA,NA,NA
1,Citrobacter sedlakii,1,NA,NA,NA,NA,NA,NA
1,Citrobacter sp. RHB25-C09,6,NA,NA,NA,NA,NA,NA
1,Citrobacter sp. R56,3,NA,NA,NA,NA,NA,NA
1,Citrobacter sp. 172116965,13,NA,NA,NA,NA,NA,NA
1,Citrobacter rodentium,6,NA,NA,NA,NA,NA,NA
1,Citrobacter koseri,8,NA,NA,NA,NA,NA,NA
1,Citrobacter enshiensis,3,NA,NA,NA,NA,NA,NA
1,Citrobacter meridianamericanus,1,NA,NA,NA,NA,NA,NA
1,Citrobacter telavivensis,1,NA,NA,NA,NA,NA,NA
1,Citrobacter farmeri,1,NA,NA,NA,NA,NA,NA
1,Citrobacter amalonaticus,1,NA,NA,NA,NA,NA,NA
1,Enterobacter cloacae complex sp.,1,NA,NA,NA,NA,NA,NA
1,Enterobacter sp. BIDMC 29,4,NA,NA,NA,NA,NA,NA
1,Enterobacter cloacae complex sp. Mu1197,1,NA,NA,NA,NA,NA,NA
1,Enterobacter asburiae,10,NA,NA,NA,NA,NA,NA
1,Enterobacter roggenkampii,6,NA,NA,NA,NA,NA,NA
1,Enterobacter cancerogenus,5,NA,NA,NA,NA,NA,NA
1,Enterobacter hormaechei,13,NA,NA,NA,NA,NA,NA
1,Enterobacter kobei,7,NA,NA,NA,NA,NA,NA
1,Enterobacter chuandaensis,2,NA,NA,NA,NA,NA,NA
1,Enterobacter sichuanensis,2,NA,NA,NA,NA,NA,NA
1,Enterobacter ludwigii,8,NA,NA,NA,NA,NA,NA
1,Enterobacter chengduensis,1,NA,NA,NA,NA,NA,NA
1,Enterobacter cloacae,2,NA,NA,NA,NA,NA,NA
1,Enterobacter sp. RHBSTW-00994,2,NA,NA,NA,NA,NA,NA
1,Enterobacter sp. 638,2,NA,NA,NA,NA,NA,NA
1,Enterobacter sp. SA187,1,NA,NA,NA,NA,NA,NA
1,Enterobacter sp. PGRG2,1,NA,NA,NA,NA,NA,NA
1,Enterobacter sp. Z1,5,NA,NA,NA,NA,NA,NA
1,Enterobacter sp. SES19,2,NA,NA,NA,NA,NA,NA
1,Enterobacter sp. DTU_2021_1002640_1_SI_PRY_ASU_LCPMC_013,2,NA,NA,NA,NA,NA,NA
1,Enterobacter huaxiensis,4,NA,NA,NA,NA,NA,NA
1,Enterobacter soli,1,NA,NA,NA,NA,NA,NA
1,Enterobacter mori,1,NA,NA,NA,NA,NA,NA
1,Enterobacter adelaidei,1,NA,NA,NA,NA,NA,NA
1,Kosakonia cowanii,7,NA,NA,NA,NA,NA,NA
1,Kosakonia sp. SMBL-WEM22,1,NA,NA,NA,NA,NA,NA
1,Kosakonia sp. H02,1,NA,NA,NA,NA,NA,NA
1,Kosakonia pseudosacchari,1,NA,NA,NA,NA,NA,NA
1,Kosakonia sacchari,1,NA,NA,NA,NA,NA,NA
1,Kosakonia oryzendophytica,1,NA,NA,NA,NA,NA,NA
1,Kosakonia oryzae,2,NA,NA,NA,NA,NA,NA
1,Kosakonia radicincitans,2,NA,NA,NA,NA,NA,NA
1,Kluyvera intermedia,3,NA,NA,NA,NA,NA,NA
1,Kluyvera ascorbata,3,NA,NA,NA,NA,NA,NA
1,Kluyvera sichuanensis,2,NA,NA,NA,NA,NA,NA
1,Kluyvera cryocrescens,2,NA,NA,NA,NA,NA,NA
1,Kluyvera sp. CRP,1,NA,NA,NA,NA,NA,NA
1,Leclercia adecarboxylata,9,NA,NA,NA,NA,NA,NA
1,Leclercia sp. S52,1,NA,NA,NA,NA,NA,NA
1,Leclercia pneumoniae,1,NA,NA,NA,NA,NA,NA
1,Cronobacter sakazakii,7,NA,NA,NA,NA,NA,NA
1,Cronobacter turicensis,1,NA,NA,NA,NA,NA,NA
1,Cronobacter dublinensis,1,NA,NA,NA,NA,NA,NA
1,Buttiauxella sp. WJP83,3,NA,NA,NA,NA,NA,NA
1,Buttiauxella selenatireducens,1,NA,NA,NA,NA,NA,NA
1,Buttiauxella ferragutiae,3,NA,NA,NA,NA,NA,NA
1,Buttiauxella agrestis,1,NA,NA,NA,NA,NA,NA
1,Cedecea neteri,4,NA,NA,NA,NA,NA,NA
1,Cedecea sp. FDAARGOS_727,1,NA,NA,NA,NA,NA,NA
1,Cedecea lapagei,1,NA,NA,NA,NA,NA,NA
1,Enterobacteriaceae bacterium strain FGI 57,2,NA,NA,NA,NA,NA,NA
1,Enterobacteriaceae bacterium ENNIH1,3,NA,NA,NA,NA,NA,NA
1,Superficieibacter sp. HKU1,5,NA,NA,NA,NA,NA,NA
1,Pseudocitrobacter faecalis,3,NA,NA,NA,NA,NA,NA
1,Pseudocitrobacter corydidari,1,NA,NA,NA,NA,NA,NA
1,Lelliottia amnigena,4,NA,NA,NA,NA,NA,NA
1,Yokenella regensburgei,4,NA,NA,NA,NA,NA,NA
1,[Enterobacter] lignolyticus,4,NA,NA,NA,NA,NA,NA
1,Phytobacter ursingii,2,NA,NA,NA,NA,NA,NA
1,Trabulsiella odontotermitis,2,NA,NA,NA,NA,NA,NA
1,Mangrovibacter phragmitis,2,NA,NA,NA,NA,NA,NA
1,Atlantibacter hermannii,2,NA,NA,NA,NA,NA,NA
1,Jejubacter calystegiae,2,NA,NA,NA,NA,NA,NA
1,Apirhabdus apintestini,1,NA,NA,NA,NA,NA,NA
1,Scandinavium goeteborgense,1,NA,NA,NA,NA,NA,NA
1,Shimwellia blattae,1,NA,NA,NA,NA,NA,NA
1,Erwinia sp. E_sp_W01_6,5,NA,NA,NA,NA,NA,NA
1,Erwinia sp. E_sp_W01_1,6,NA,NA,NA,NA,NA,NA
1,[Pantoea] beijingensis,2,NA,NA,NA,NA,NA,NA
1,Erwinia tracheiphila,2,NA,NA,NA,NA,NA,NA
1,Erwinia sorbitola,1,NA,NA,NA,NA,NA,NA
1,Candidatus Erwinia impunctatus,1,NA,NA,NA,NA,NA,NA
1,Erwinia tasmaniensis,1,NA,NA,NA,NA,NA,NA
1,Pantoea sp. Lij88,1,NA,NA,NA,NA,NA,NA
1,Pantoea sp. At-9b,1,NA,NA,NA,NA,NA,NA
1,Pantoea sp. Z09,1,NA,NA,NA,NA,NA,NA
1,Pantoea agglomerans,2,NA,NA,NA,NA,NA,NA
1,Pantoea piersonii,1,NA,NA,NA,NA,NA,NA
1,Pantoea phytobeneficialis,1,NA,NA,NA,NA,NA,NA
1,Pantoea alhagi,1,NA,NA,NA,NA,NA,NA
1,Pantoea stewartii,5,NA,NA,NA,NA,NA,NA
1,Pantoea ananatis,1,NA,NA,NA,NA,NA,NA
1,Mixta hanseatica,1,NA,NA,NA,NA,NA,NA
1,Mixta gaviniae,1,NA,NA,NA,NA,NA,NA
1,Duffyella gerundensis,1,NA,NA,NA,NA,NA,NA
1,Tatumella ptyseos,1,NA,NA,NA,NA,NA,NA
1,Arsenophonus endosymbiont of Bemisia tabaci,7,NA,NA,NA,NA,NA,NA
1,Providencia rettgeri,5,NA,NA,NA,NA,NA,NA
1,Morganella morganii,2,NA,NA,NA,NA,NA,NA
1,Xenorhabdus bovienii,2,NA,NA,NA,NA,NA,NA
1,Photorhabdus laumondii,2,NA,NA,NA,NA,NA,NA
1,Proteus mirabilis,1,NA,NA,NA,NA,NA,NA
1,Serratia fonticola,1,NA,NA,NA,NA,NA,NA
