#0	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/A01_S1.bracken (228388 reads)
#1	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/A02_S2.bracken (152301 reads)
#2	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/A03_S3.bracken (235989 reads)
#3	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/A04_S4.bracken (137198 reads)
#4	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/A05_S5.bracken (250638 reads)
#5	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/A06_S6.bracken (81545 reads)
#6	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/A07_S7.bracken (86743 reads)
#7	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/A08_S8.bracken (391238 reads)
#8	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/A09_S9.bracken (285657 reads)
#9	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/A10_S10.bracken (214740 reads)
#10	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/A11_S11.bracken (309510 reads)
#11	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/A12_S12.bracken (263741 reads)
#12	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/B01_S13.bracken (82935 reads)
#13	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/B02_S14.bracken (245284 reads)
#14	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/B04_S16.bracken (229936 reads)
#15	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/B05_S17.bracken (635409 reads)
#16	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/B06_S18.bracken (216859 reads)
#17	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/B07_S19.bracken (180 reads)
#18	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/B08_S20.bracken (144452 reads)
#19	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/B09_S21.bracken (309369 reads)
#20	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/B10_S22.bracken (247532 reads)
#21	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/B11_S23.bracken (283925 reads)
#22	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/B12_S24.bracken (82824 reads)
#23	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/Blank_S38.bracken (119338 reads)
#24	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/C01_S25.bracken (190031 reads)
#25	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/C02_S26.bracken (195309 reads)
#26	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/C03_S27.bracken (78328 reads)
#27	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/C05_S29.bracken (149960 reads)
#28	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/C06_S30.bracken (188369 reads)
#29	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/C07_S31.bracken (13179 reads)
#30	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/C08_S32.bracken (121793 reads)
#31	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/C09_S33.bracken (94339 reads)
#32	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/C10_S34.bracken (123363 reads)
#33	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/C11_S35.bracken (33171 reads)
#34	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/C12_S36.bracken (115826 reads)
#35	/scratch/prj/aef_forensic_metagenomics/long_RP1/processed_data/metagenomic/bracken/ENC_S37.bracken (16526 reads)
x	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
14	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.488	0.387	0.998	0.269	0.189	0.100	0.247	0.488	0.555	0.518	0.550	0.962	0.454	0.483	0.892	0.316	0.922	0.963	0.997	0.782	0.868
15	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.511	0.999	0.637	0.365	0.450	0.402	0.775	0.794	0.560	0.748	0.983	0.674	0.646	0.959	0.682	0.965	0.983	0.998	0.757	0.950
16	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.998	0.501	0.475	0.392	0.171	0.477	0.537	0.163	0.492	0.959	0.375	0.345	0.885	0.324	0.918	0.961	0.993	0.805	0.860
17	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.998	0.999	0.999	0.999	0.996	0.999	0.998	0.998	0.995	0.999	0.998	0.989	0.997	0.996	0.999	0.996	0.997	0.978
18	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.378	0.282	0.374	0.293	0.635	0.670	0.709	0.947	0.650	0.658	0.833	0.336	0.894	0.951	0.994	0.747	0.798
19	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.157	0.348	0.590	0.637	0.591	0.615	0.970	0.540	0.553	0.918	0.441	0.938	0.970	0.996	0.817	0.900
20	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.266	0.516	0.576	0.522	0.552	0.964	0.485	0.506	0.899	0.348	0.926	0.964	0.996	0.815	0.877
21	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.560	0.613	0.238	0.564	0.967	0.477	0.426	0.911	0.406	0.933	0.968	0.993	0.838	0.892
22	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.556	0.618	0.667	0.933	0.595	0.613	0.725	0.227	0.856	0.936	0.990	0.683	0.672
23	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.497	0.506	0.974	0.422	0.494	0.801	0.356	0.896	0.953	0.993	0.957	0.760
24	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.461	0.971	0.354	0.325	0.870	0.445	0.908	0.961	0.994	0.923	0.842
25	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.974	0.399	0.456	0.874	0.486	0.887	0.932	0.995	0.961	0.846
26	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.951	0.960	0.945	0.951	0.958	0.973	0.993	0.942	0.944
27	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.265	0.838	0.400	0.909	0.957	0.993	0.847	0.806
28	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.869	0.439	0.914	0.955	0.993	0.877	0.841
29	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.805	0.794	0.916	0.995	0.922	0.113
30	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.884	0.946	0.996	0.737	0.765
31	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.431	0.995	0.936	0.798
32	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.996	0.956	0.918
33	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.996	0.995
34	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.922
35	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000
