"name"	"taxRank"	"taxID"	"Max"	"ZC1_S4.cladeReads"	"ZC2_S5.cladeReads"	"ZC3_S6.cladeReads"	"ZC4_S7.cladeReads"	"ZP1_S20.cladeReads"	"ZP2_S21.cladeReads"	"ZP3_S22.cladeReads"	"lineage"
"root><wbr>...><wbr>Bacillus cabrialesii"	"S"	2487276	40	40	31	33	17	28	32	34	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae>Bacillus"
"root><wbr>...><wbr>Staphylococcus aureus"	"S"	1280	41773	25991	21620	27703	27020	38812	40381	41773	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"root><wbr>...><wbr>Staphylococcus argenteus"	"S"	985002	41	22	22	28	32	30	41	22	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"root><wbr>...><wbr>Staphylococcus schweitzeri"	"S"	1654388	33	16	13	20	NA	22	33	30	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"root><wbr>...><wbr>Staphylococcus saprophyticus"	"S"	29385	28	14	NA	15	NA	28	28	16	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"root><wbr>...><wbr>Staphylococcus epidermidis"	"S"	1282	20	11	NA	12	NA	20	15	11	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"root><wbr>...><wbr>Listeria monocytogenes"	"S"	1639	40866	24872	20947	25874	27952	38065	38584	40866	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Listeriaceae>Listeria"
"root><wbr>...><wbr>Listeria innocua"	"S"	1642	228	160	120	180	163	214	228	209	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Listeriaceae>Listeria"
"root><wbr>...><wbr>Listeria welshimeri"	"S"	1643	65	52	32	48	27	65	50	51	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Listeriaceae>Listeria"
"root><wbr>...><wbr>Listeria swaminathanii"	"S"	2713501	83	49	34	68	66	83	70	59	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Listeriaceae>Listeria"
"root><wbr>...><wbr>Listeria seeligeri"	"S"	1640	43	28	18	25	21	37	43	24	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Listeriaceae>Listeria"
"root><wbr>...><wbr>Listeria ivanovii"	"S"	1638	50	21	16	22	26	50	44	44	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Listeriaceae>Listeria"
"root><wbr>...><wbr>Paenibacillus sp. FSL W8-0194"	"S"	2921711	15	15	13	NA	NA	NA	NA	14	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Paenibacillaceae>Paenibacillus>unclassified&nbsp;Paenibacillus"
"root><wbr>...><wbr>Enterococcus faecalis"	"S"	1351	41093	35947	31388	38132	33784	37617	38795	41093	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Lactobacillales>Enterococcaceae>Enterococcus"
"root><wbr>...><wbr>Limosilactobacillus fermentum"	"S"	1613	33190	17955	14995	17358	21553	29418	27817	33190	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Limosilactobacillus"
"root><wbr>...><wbr>Salmonella enterica"	"S"	28901	53196	53196	51863	47191	34484	43051	39735	44599	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Salmonella"
"root><wbr>...><wbr>Salmonella sp. WGH-01"	"S"	2935857	54	54	37	54	NA	36	32	43	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Salmonella>unclassified&nbsp;Salmonella"
"root><wbr>...><wbr>Salmonella bongori"	"S"	54736	260	51	260	41	25	156	246	20	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Salmonella"
"root><wbr>...><wbr>Escherichia coli"	"S"	562	34682	34682	34460	29165	21295	23464	20548	27246	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia"
"root><wbr>...><wbr>Escherichia albertii"	"S"	208962	63	63	57	61	42	49	30	30	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia"
"root><wbr>...><wbr>Escherichia marmotae"	"S"	1499973	43	43	22	23	21	18	12	24	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia"
"root><wbr>...><wbr>Escherichia sp. E4742"	"S"	2044467	36	36	23	27	NA	NA	NA	14	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>unclassified&nbsp;Escherichia"
"root><wbr>...><wbr>Escherichia fergusonii"	"S"	564	47	47	34	41	33	33	23	35	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia"
"root><wbr>...><wbr>Shigella flexneri"	"S"	623	2402	1397	777	656	442	549	2402	781	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Shigella"
"root><wbr>...><wbr>Shigella dysenteriae"	"S"	622	191	174	166	191	166	100	109	146	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Shigella"
"root><wbr>...><wbr>Shigella boydii"	"S"	621	355	336	273	211	NA	355	192	282	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Shigella"
"root><wbr>...><wbr>Shigella sonnei"	"S"	624	115	96	NA	NA	NA	NA	115	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Shigella"
"root><wbr>...><wbr>Klebsiella pneumoniae"	"S"	573	969	186	158	132	187	89	91	969	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Klebsiella/Raoultella&nbsp;group>Klebsiella>Klebsiella&nbsp;pneumoniae&nbsp;complex"
"root><wbr>...><wbr>Klebsiella aerogenes"	"S"	548	12	12	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Klebsiella/Raoultella&nbsp;group>Klebsiella"
"root><wbr>...><wbr>Pseudomonas aeruginosa"	"S"	287	32117	23401	23103	18169	16997	30337	25809	32117	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;aeruginosa&nbsp;group"
"root><wbr>...><wbr>uncultured bacterium"	"S"	77133	65	56	57	41	61	65	51	59	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"root><wbr>...><wbr>Saccharomyces cerevisiae"	"S"	4932	12020	8647	12020	9123	7901	7311	8605	7362	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Saccharomycotina>Saccharomycetes>Saccharomycetales>Saccharomycetaceae>Saccharomyces"
"root><wbr>...><wbr>Saccharomyces paradoxus"	"S"	27291	56	53	45	56	32	45	36	46	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Saccharomycotina>Saccharomycetes>Saccharomycetales>Saccharomycetaceae>Saccharomyces"
"root><wbr>...><wbr>Cryptococcus neoformans"	"S"	5207	7888	7222	5410	7888	5912	4698	4222	4922	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Dikarya>Basidiomycota>Agaricomycotina>Tremellomycetes>Tremellales>Cryptococcaceae>Cryptococcus>Cryptococcus&nbsp;neoformans&nbsp;species&nbsp;complex"
"root><wbr>...><wbr>Apteryx mantelli"	"S"	2696672	18	18	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Sauropsida>Sauria>Archelosauria>Archosauria>Dinosauria>Saurischia>Theropoda>Coelurosauria>Aves>Palaeognathae>Apterygiformes>Apterygidae>Apteryx"
"root><wbr>...><wbr>Severe acute respiratory syndrome-related coronavirus"	"S"	694009	2052	197	NA	NA	NA	NA	NA	2052	"Viruses>Riboviria>Orthornavirae>Pisuviricota>Pisoniviricetes>Nidovirales>Cornidovirineae>Coronaviridae>Orthocoronavirinae>Betacoronavirus>Sarbecovirus"
"root><wbr>...><wbr>Macdonaldcampvirus SB28"	"S"	2956145	61	53	NA	NA	61	NA	NA	NA	"Viruses>Duplodnaviria>Heunggongvirae>Uroviricota>Caudoviricetes>Macdonaldcampvirus"
"root><wbr>...><wbr>Staphylococcus pseudintermedius"	"S"	283734	23	NA	11	NA	NA	16	23	12	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus>Staphylococcus&nbsp;intermedius&nbsp;group"
"root><wbr>...><wbr>Ralstonia solanacearum"	"S"	305	13	NA	13	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Ralstonia>Ralstonia&nbsp;solanacearum&nbsp;species&nbsp;complex"
"root><wbr>...><wbr>Terrapene triunguis"	"S"	2587831	18	NA	18	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Sauropsida>Sauria>Archelosauria>Testudinata>Testudines>Cryptodira>Durocryptodira>Testudinoidea>Emydidae>Terrapene"
"root><wbr>...><wbr>Anolis maynardi"	"S"	75265	12	NA	12	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Sauropsida>Sauria>Lepidosauria>Squamata>Bifurcata>Unidentata>Episquamata>Toxicofera>Iguania>Dactyloidae>Anolis"
"root><wbr>...><wbr>Homo sapiens"	"S"	9606	39	NA	29	NA	NA	39	32	38	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Eutheria>Boreoeutheria>Euarchontoglires>Primates>Haplorrhini>Simiiformes>Catarrhini>Hominoidea>Hominidae>Homininae>Homo"
"root><wbr>...><wbr>Citrobacter freundii"	"S"	546	60	NA	NA	60	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Citrobacter>Citrobacter&nbsp;freundii&nbsp;complex"
"root><wbr>...><wbr>Saccharomyces kudriavzevii"	"S"	114524	10	NA	NA	10	NA	NA	10	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Saccharomycotina>Saccharomycetes>Saccharomycetales>Saccharomycetaceae>Saccharomyces"
"root><wbr>...><wbr>Dicrocoelium dendriticum"	"S"	57078	152	NA	NA	NA	152	115	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Spiralia>Lophotrochozoa>Platyhelminthes>Trematoda>Digenea>Plagiorchiida>Xiphidiata>Gorgoderoidea>Dicrocoeliidae>Dicrocoelium"
"root><wbr>...><wbr>Bacillus sp. PPSBB_11"	"S"	3125777	822	NA	NA	NA	NA	822	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae>Bacillus>unclassified&nbsp;Bacillus&nbsp;(in:&nbsp;firmicutes)"
"root><wbr>...><wbr>Staphylococcus simiae"	"S"	308354	13	NA	NA	NA	NA	13	12	12	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"root><wbr>...><wbr>Bacillus sp. wens01"	"S"	2051555	51	NA	NA	NA	NA	NA	NA	51	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae>Bacillus>unclassified&nbsp;Bacillus&nbsp;(in:&nbsp;firmicutes)"
"root><wbr>...><wbr>Lactiplantibacillus plantarum"	"S"	1590	14	NA	NA	NA	NA	NA	NA	14	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Lactiplantibacillus"
