"name"	"taxRank"	"taxID"	"Max"	"ZC1_S4.cladeReads"	"ZC2_S5.cladeReads"	"ZC3_S6.cladeReads"	"ZC4_S7.cladeReads"	"ZP1_S20.cladeReads"	"ZP2_S21.cladeReads"	"ZP3_S22.cladeReads"	"lineage"
"root><wbr>...><wbr>Listeria welshimeri"	"S"	1643	21	17	NA	16	NA	17	15	21	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Listeriaceae>Listeria"
"root><wbr>...><wbr>Listeria seeligeri"	"S"	1640	19	17	NA	NA	NA	19	14	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Listeriaceae>Listeria"
"root><wbr>...><wbr>Enterococcus faecalis"	"S"	1351	28491	27942	21600	27567	22487	27899	27709	28491	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Lactobacillales>Enterococcaceae>Enterococcus"
"root><wbr>...><wbr>Limosilactobacillus fermentum"	"S"	1613	21597	13625	9762	11891	14164	20722	18359	21597	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Limosilactobacillus"
"root><wbr>...><wbr>Actinomyces oris"	"S"	544580	27	27	16	20	NA	22	13	14	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Actinomycetales>Actinomycetaceae>Actinomyces"
"root><wbr>...><wbr>Salmonella enterica"	"S"	28901	47082	47082	34886	36608	27441	33305	30596	35875	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Salmonella"
"root><wbr>...><wbr>Salmonella bongori"	"S"	54736	810	29	683	18	NA	NA	810	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Salmonella"
"root><wbr>...><wbr>Escherichia coli"	"S"	562	29239	27610	29239	24407	16150	22085	17175	21614	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia"
"root><wbr>...><wbr>Escherichia sp. E4742"	"S"	2044467	27	27	NA	18	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>unclassified&nbsp;Escherichia"
"root><wbr>...><wbr>Escherichia albertii"	"S"	208962	50	33	50	21	18	14	NA	17	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia"
"root><wbr>...><wbr>Escherichia fergusonii"	"S"	564	94	25	22	23	94	19	21	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia"
"root><wbr>...><wbr>Escherichia marmotae"	"S"	1499973	16	16	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia"
"root><wbr>...><wbr>Shigella flexneri"	"S"	623	2603	2603	2202	924	1210	992	1726	420	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Shigella"
"root><wbr>...><wbr>Shigella dysenteriae"	"S"	622	197	197	100	122	138	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Shigella"
"root><wbr>...><wbr>Shigella boydii"	"S"	621	197	197	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Shigella"
"root><wbr>...><wbr>Klebsiella pneumoniae"	"S"	573	59	59	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Klebsiella/Raoultella&nbsp;group>Klebsiella"
"root><wbr>...><wbr>Pseudomonas aeruginosa"	"S"	287	21765	17578	15814	12126	11476	20316	17294	21765	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;aeruginosa&nbsp;group"
"root><wbr>...><wbr>Pseudomonas sp. CIP-10"	"S"	2892442	435	435	72	323	336	193	146	234	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"root><wbr>...><wbr>Burkholderia multivorans"	"S"	87883	18	18	11	14	11	14	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>Burkholderia&nbsp;cepacia&nbsp;complex"
"root><wbr>...><wbr>Homo sapiens"	"S"	9606	64	43	44	40	37	55	50	64	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Eutheria>Boreoeutheria>Euarchontoglires>Primates>Haplorrhini>Simiiformes>Catarrhini>Hominoidea>Hominidae>Homininae>Homo"
"root><wbr>...><wbr>Paenibacillus sp. FSL W8-0194"	"S"	2921711	10	NA	10	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Paenibacillaceae>Paenibacillus>unclassified&nbsp;Paenibacillus"
"root><wbr>...><wbr>Neptuniibacter halophilus"	"S"	651666	71	NA	28	NA	46	71	NA	11	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Oceanospirillales>Oceanospirillaceae>Neptuniibacter"
"root><wbr>...><wbr>Listeria ivanovii"	"S"	1638	22	NA	NA	12	14	16	22	20	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Listeriaceae>Listeria"
"root><wbr>...><wbr>Staphylococcus saprophyticus"	"S"	29385	21	NA	NA	NA	NA	19	21	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
