"species","TotalReads"
"Staphylococcus caprae",1
"Staphylococcus pettenkoferi",1
"Staphylococcus casei",1
"Staphylococcus hsinchuensis",1
"Staphylococcus massiliensis",1
"Staphylococcus agnetis",1
"Staphylococcus shinii",1
"Staphylococcus debuckii",1
"Mammaliicoccus sp. Marseille-Q6498",2
"Mammaliicoccus vitulinus",1
"Macrococcus brunensis",1
"Listeria monocytogenes",24816
"Listeria innocua",158
"Listeria welshimeri",52
"Listeria swaminathanii",49
"Listeria seeligeri",26
"Listeria ivanovii",21
"uncultured Listeria sp.",4
"Listeria weihenstephanensis",3
"Listeria grayi",3
"Listeria newyorkensis",1
"Paenisporosarcina antarctica",1
"Paenisporosarcina macmurdoensis",13
"Solibacillus isronensis",12
"Sporosarcina sp. Te-1",1
"Sporosarcina ureae",1
"Kurthia sp. wang_05",1
"Paenibacillus sp. FSL W8-0194",13
"Paenibacillus sp. FSL K6-1217",2
"Paenibacillus sabinae",1
"Brevibacillus laterosporus",4
"Cohnella abietis",2
"Pasteuria ramosa",1
"Enterococcus faecalis",35820
"Enterococcus sp. 9D6_DIV0238",7
"Enterococcus sp. DIV0212c",4
"Enterococcus sp. 12C11_DIV0727",3
"Enterococcus sp. DIV1094",3
"Enterococcus sp. 7F3_DIV0205",2
"Enterococcus sp. 9E7_DIV0242",2
"Enterococcus sp. DA9",31
"Enterococcus sp. DIV2402",1
"Enterococcus sp. DIV0849a",1
"Enterococcus sp. PLM3",16
"Enterococcus rotai",7
"Enterococcus silesiacus",7
"Enterococcus faecium",8
"Enterococcus durans",4
"Enterococcus dispar",4
"Enterococcus cecorum",3
"Enterococcus avium",3
"Enterococcus raffinosus",2
"Enterococcus devriesei",2
"Enterococcus casseliflavus",2
"Enterococcus saccharolyticus",1
"Enterococcus saigonensis",1
"Enterococcus wangshanyuanii",1
"Enterococcus mundtii",1
"Vagococcus carniphilus",3
"Vagococcus xieshaowenii",1
"Vagococcus jeotgali",1
"Melissococcus plutonius",1
"Limosilactobacillus fermentum",17907
"Limosilactobacillus reuteri",2
"Lactiplantibacillus plantarum",6
"Lactiplantibacillus pentosus",2
"Lactobacillus delbrueckii",3
"Lactobacillus crispatus",1
"Pediococcus acidilactici",1
"Pediococcus damnosus",1
"Pediococcus pentosaceus",1
"Ligilactobacillus agilis",1
"Ligilactobacillus salivarius",1
"Ligilactobacillus murinus",1
"Leuconostoc mesenteroides",2
"Lentilactobacillus kefiri",2
"Weissella cibaria",1
"Weissella confusa",1
"Fructobacillus fructosus",1
"Levilactobacillus zymae",1
"Apilactobacillus kunkeei",1
"Streptococcus thermophilus",2
"Streptococcus infantis",1
"Streptococcus uberis",1
"Streptococcus suis",1
"Streptococcus sanguinis",1
"Streptococcus nidrosiense",1
"Aerococcaceae bacterium zg-252",1
"Aerococcaceae bacterium zg-1292",1
"Aerococcus urinaeequi",2
"Ignavigranum ruoffiae",1
"Desemzia incerta",1
"Carnobacterium viridans",1
"Carnobacteriaceae bacterium zg-C25",1
"Clostridium sp.",1
"Clostridium perfringens",1
"Clostridium cochlearium",1
"Clostridium estertheticum",1
"uncultured Peptococcaceae bacterium",1
"Desulfofundulus kuznetsovii",1
"Desulfofarcimen acetoxidans",1
"Acididesulfobacillus acetoxydans",1
"Hominenteromicrobium mulieris",1
"Ruthenibacterium lactatiformans",1
"uncultured Faecalibacterium sp.",1
"Caproicibacter fermentans",1
"Desulfitobacterium metallireducens",1
"Lachnospiraceae bacterium",2
"Blautia producta",1
"Roseburia sp. 499",1
"Hungatella hathewayi",1
"Lacrimispora xylanisolvens",1
"Helicovermis profundi",1
"Aedoeadaptatus ivorii",2
"Negativicoccus massiliensis",1
"Streptomyces sp. NBC_00191",1
"Streptomyces sp. Je 1-332",1
"Streptomyces sp. GMY02",1
"Streptomyces sp. GS7",1
"Streptomyces sp. NBC_01518",1
"Streptomyces sp. fd1-xmd",1
"Streptomyces sp. NBC_00820",1
"Streptomyces sp. ITFR-21",1
"Streptomyces sp. R39",1
"Streptomyces sp. NBC_01335",1
"Streptomyces sp. R33",1
"Streptomyces sp. NBC_00513",1
"Streptomyces sp. SirexAA-E",1
"Streptomyces tirandamycinicus",1
"Streptomyces pluripotens",1
"Streptomyces prunicolor",1
"Streptomyces albus",1
"Kitasatospora sp. HUAS MG31",1
"Streptacidiphilus sp. P02-A3a",1
"Arthrobacter sp. CJ23",1
"Arthrobacter sp. UKPF54-2",1
"Arthrobacter sp. StoSoilB5",1
"Paenarthrobacter nicotinovorans",1
"Glutamicibacter mishrai",1
"Sinomonas sp. R1AF57",1
"Microcella flavibacter",1
"Clavibacter capsici",1
"Curtobacterium sp. MCPF17_002",1
"Nocardioides sp. JS614",1
"Nocardioides aquaticus",1
"Nocardioides faecalis",1
"Microlunatus sagamiharensis",1
"Kribbella qitaiheensis",1
"Tsukamurella pulmonis",1
"Gordonia terrae",1
"Mycobacterium sp. ITM-2016-00317",1
"Corynebacterium kefirresidentii",1
"Nocardiopsis sp. HUAS JQ3",1
"Thermobifida halotolerans",1
"Actinomadura rugatobispora",1
"Bifidobacterium actinocoloniiforme",1
"Bifidobacterium dentium",1
"Bifidobacterium angulatum",1
"Saccharopolyspora spinosa",1
"Saccharopolyspora erythraea",1
"uncultured Actinomycetes bacterium",1
"Trueperella pyogenes",1
"uncultured Acidimicrobiaceae bacterium",1
"Prochlorococcus marinus",1
"Nodosilinea sp. LVE1205-7",1
"Gloeotrichia echinulata",1
"Moorena producens",1
"Mycoplasmopsis bovirhinis",2
"Caldilinea aerophila",1
"Dehalococcoidia bacterium",1
"Salmonella enterica",52820
"Salmonella sp. WGH-01",54
"Salmonella sp. SJTUF15606",168
"Salmonella sp. SA14318",5
"Salmonella sp. SSDFZ54",42
"Salmonella sp.",10
"Salmonella bongori",50
"Escherichia coli",34482
"Escherichia albertii",63
"Escherichia sp. E4742",27
"Escherichia sp. KS167_9B",20
"Escherichia marmotae",43
"Escherichia fergusonii",47
"Shigella flexneri",1391
"Shigella dysenteriae",174
"Shigella boydii",335
"Shigella sonnei",88
"Klebsiella pneumoniae",181
"Klebsiella quasipneumoniae",21
"Klebsiella variicola",4
"Klebsiella aerogenes",12
"Klebsiella sp. P1CD1",3
"Klebsiella huaxiensis",3
"Klebsiella michiganensis",2
"Klebsiella africana",2
"Klebsiella oxytoca",2
"Raoultella ornithinolytica",7
"Raoultella planticola",2
"Raoultella terrigena",1
"Citrobacter freundii",25
"Citrobacter braakii",22
"Citrobacter freundii complex sp. CFNIH9",4
"Citrobacter portucalensis",10
"Citrobacter werkmanii",7
"Citrobacter sedlakii",1
"Citrobacter sp. RHB25-C09",6
"Citrobacter sp. R56",3
"Citrobacter sp. 172116965",13
"Citrobacter rodentium",6
"Citrobacter koseri",8
"Citrobacter enshiensis",3
"Citrobacter meridianamericanus",1
"Citrobacter telavivensis",1
"Citrobacter farmeri",1
"Citrobacter amalonaticus",1
"Enterobacter cloacae complex sp.",1
"Enterobacter sp. BIDMC 29",4
"Enterobacter cloacae complex sp. Mu1197",1
"Enterobacter asburiae",10
"Enterobacter roggenkampii",6
"Enterobacter cancerogenus",5
"Enterobacter hormaechei",13
"Enterobacter kobei",7
"Enterobacter chuandaensis",2
"Enterobacter sichuanensis",2
"Enterobacter ludwigii",8
"Enterobacter chengduensis",1
"Enterobacter cloacae",2
"Enterobacter sp. RHBSTW-00994",2
"Enterobacter sp. 638",2
"Enterobacter sp. SA187",1
"Enterobacter sp. PGRG2",1
"Enterobacter sp. Z1",5
"Enterobacter sp. SES19",2
"Enterobacter sp. DTU_2021_1002640_1_SI_PRY_ASU_LCPMC_013",2
"Enterobacter huaxiensis",4
"Enterobacter soli",1
"Enterobacter mori",1
"Enterobacter adelaidei",1
"Kosakonia cowanii",7
"Kosakonia sp. SMBL-WEM22",1
"Kosakonia sp. H02",1
"Kosakonia pseudosacchari",1
"Kosakonia sacchari",1
"Kosakonia oryzendophytica",1
"Kosakonia oryzae",2
"Kosakonia radicincitans",2
"Kluyvera intermedia",3
"Kluyvera ascorbata",3
"Kluyvera sichuanensis",2
"Kluyvera cryocrescens",2
"Kluyvera sp. CRP",1
"Leclercia adecarboxylata",9
"Leclercia sp. S52",1
"Leclercia pneumoniae",1
"Cronobacter sakazakii",7
"Cronobacter turicensis",1
"Cronobacter dublinensis",1
"Buttiauxella sp. WJP83",3
"Buttiauxella selenatireducens",1
"Buttiauxella ferragutiae",3
"Buttiauxella agrestis",1
"Cedecea neteri",4
"Cedecea sp. FDAARGOS_727",1
"Cedecea lapagei",1
"Enterobacteriaceae bacterium strain FGI 57",2
"Enterobacteriaceae bacterium ENNIH1",3
"Superficieibacter sp. HKU1",5
"Pseudocitrobacter faecalis",3
"Pseudocitrobacter corydidari",1
"Lelliottia amnigena",4
"Yokenella regensburgei",4
"[Enterobacter] lignolyticus",4
"Phytobacter ursingii",2
"Trabulsiella odontotermitis",2
"Mangrovibacter phragmitis",2
"Atlantibacter hermannii",2
"Jejubacter calystegiae",2
"Apirhabdus apintestini",1
"Scandinavium goeteborgense",1
"Shimwellia blattae",1
"Erwinia sp. E_sp_W01_6",5
"Erwinia sp. E_sp_W01_1",6
"[Pantoea] beijingensis",2
"Erwinia tracheiphila",2
"Erwinia sorbitola",1
"Candidatus Erwinia impunctatus",1
"Erwinia tasmaniensis",1
"Pantoea sp. Lij88",1
"Pantoea sp. At-9b",1
"Pantoea sp. Z09",1
"Pantoea agglomerans",2
"Pantoea piersonii",1
"Pantoea phytobeneficialis",1
"Pantoea alhagi",1
"Pantoea stewartii",5
"Pantoea ananatis",1
"Mixta hanseatica",1
"Mixta gaviniae",1
"Duffyella gerundensis",1
"Tatumella ptyseos",1
"Arsenophonus endosymbiont of Bemisia tabaci",7
"Providencia rettgeri",5
"Morganella morganii",2
"Xenorhabdus bovienii",2
"Photorhabdus laumondii",2
"Proteus mirabilis",1
"Serratia fonticola",1
"Serratia rubidaea",1
"Serratia plymuthica",1
"Serratia nematodiphila",5
"Serratia aquatilis",1
"Serratia rhizosphaerae",1
"Serratia marcescens",1
"Yersinia entomophaga",1
"Yersinia enterocolitica",1
"Yersinia ruckeri",1
"Yersinia vastinensis",1
"Gibbsiella quercinecans",1
"Rouxiella chamberiensis",1
"Pectobacterium brasiliense",3
"Pectobacterium sp. PL64",1
"Pectobacterium parmentieri",1
"Pectobacterium versatile",1
"Dickeya dadantii",4
"Brenneria rubrifaciens",1
"Brenneria nigrifluens",1
"Sodalis sp. Fle",1
"Candidatus Sodalis pierantonius",1
"Sodalis glossinidius",1
"Edwardsiella tarda",2
"Edwardsiella hoshinae",1
"Limnobaculum parvum",1
"Leminorella grimontii",1
"Gallaecimonas sp. GXIMD4217",1
"Pseudomonas aeruginosa",23215
"Pseudomonas paraeruginosa",17
"Pseudomonas citronellolis",7
"Pseudomonas nitroreducens",2
"Pseudomonas sp. LPB0260",2
"Pseudomonas sp. Q1-7",2
"Pseudomonas sp. GCEP-101",2
"Pseudomonas sp. ATCC 13867",2
"Pseudomonas sp. 273",2
"Pseudomonas sp. C9-3",2
"Pseudomonas sp. FFPRI_1",2
"Pseudomonas sp. 7SR1",2
"Pseudomonas sp. HS-18",3
"Pseudomonas sp. ADAK18",1
"Pseudomonas sp. SL4(2022)",1
"Pseudomonas sp. WJP1",1
"Pseudomonas sp.",10
"Pseudomonas sp. MTM4",1
"Pseudomonas sp. L5B5",1
"Pseudomonas sp. RU47",5
"Pseudomonas sp. PDNC002",1
"Pseudomonas sp. 15A4",1
"Pseudomonas sp. KNUC1026",1
"Pseudomonas sp. TUM22785",1
"Pseudomonas sp. HN11",1
"Pseudomonas sp. J452",1
"Pseudomonas sp. B21-012",4
"Pseudomonas sp. ADPe",2
"Pseudomonas sp. B21-053",1
"Pseudomonas sp. SCT",1
"Pseudomonas sp. HS6",1
"Pseudomonas sp. DTU_2021_1001937_2_SI_NGA_ILE_001",1
"Pseudomonas sp. NY8938",11
"Pseudomonas sp. KHPS1",1
"Pseudomonas sp. Z8(2022)",1
"Pseudomonas sp. FP2196",1
"Pseudomonas sp. Seg1",1
"Pseudomonas sp. Ost2",1
"Pseudomonas sp. FDAARGOS_761",22
"Pseudomonas sp. JQ170C",1
"Pseudomonas sp. BA28",2
"Pseudomonas sp. CC6-YY-74",1
"Pseudomonas sp. MH9.3",6
"Pseudomonas sp. MH9.2",1
"Pseudomonas sp. TCU-HL1",1
"Pseudomonas sp. SCB32",1
"Pseudomonas sp. DY-1",5
"Pseudomonas sp. RC10",1
"Pseudomonas sp. G.S.17",1
"Pseudomonas sp. SO81",1
"Pseudomonas sp. P9_31",2
"Pseudomonas sp. B11D7D",1
"Pseudomonas sp. Marseille-Q3773",1
"Pseudomonas sp. TE3-3-F2023",1
"Pseudomonas sp. BW7P1",1
"Pseudomonas sp. PLMAX",1
"Pseudomonas putida",12
"Pseudomonas oryzihabitans",4
"Pseudomonas fulva",5
"Pseudomonas plecoglossicida",1
"Pseudomonas fluorescens",8
"Pseudomonas rhodesiae",3
"Pseudomonas granadensis",1
"Pseudomonas orientalis",1
"Pseudomonas corrugata",1
"Pseudomonas trivialis",1
"Pseudomonas amygdali",5
"Pseudomonas syringae",3
"Pseudomonas viridiflava",1
"Pseudomonas coronafaciens",2
"Pseudomonas caspiana",1
"Pseudomonas cichorii",1
"Pseudomonas chlororaphis",6
"Pseudomonas protegens",4
"Pseudomonas sp. JDS08PS003",1
"uncultured Pseudomonas sp.",7
"Pseudomonas triclosanedens",3
"Pseudomonas lalucatii",3
"Pseudomonas cavernae",3
"Pseudomonas kielensis",2
"Pseudomonas benzenivorans",2
"Pseudomonas cremoricolorata",2
"Pseudomonas paralcaligenes",2
"Pseudomonas laurentiana",1
"Pseudomonas seleniipraecipitans",1
"Pseudomonas grandcourensis",1
"Candidatus Pseudomonas phytovorans",1
"Pseudomonas yamanorum",1
"Pseudomonas abietaniphila",1
"Pseudomonas thivervalensis",1
"Pseudomonas tructae",1
"Pseudomonas canadensis",1
"Pseudomonas knackmussii",1
"Pseudomonas eucalypticola",1
"Pseudomonas simiae",1
"Pseudomonas extremaustralis",1
"Pseudomonas entomophila",1
"Pseudomonas pohangensis",1
"Pseudomonas cerasi",2
"Pseudomonas alkylphenolica",1
"Pseudomonas batumici",1
"Pseudomonas silesiensis",1
"Pseudomonas sediminis",1
"Pseudomonas hamedanensis",1
"Pseudomonas alvandae",1
"Pseudomonas oryzae",1
"Stutzerimonas decontaminans",1
"Stutzerimonas xanthomarina",1
"Halopseudomonas litoralis",1
"Halopseudomonas xinjiangensis",1
"Ectopseudomonas alcaliphila",1
"Entomomonas asaccharolytica",1
"Marinobacter sp. NP-4(2019)",2
"Vibrio sp. SCSIO 43137",1
"Vibrio sp. CB1-14",1
"Vibrio sp. B1FLJ16",1
"Vibrio fluvialis",3
"Vibrio cholerae",5
"Vibrio gigantis",1
"Vibrio mimicus",1
"Photobacterium sp. TLY01",1
"Photobacterium gaetbulicola",1
"Photobacterium damselae",1
"Paraphotobacterium marinum",1
"Grimontia hollisae",1
"Halomonas sp. PA16-9",3
"Halomonas sp. HAL1",1
"Halomonas alkaliantarctica",2
"uncultured Marinobacterium sp.",1
"Marinobacterium sp. LSUCC0821",1
"Aliamphritea ceti",1
"Marinomonas profundi",1
"Amphritea japonica",1
"Endozoicomonas sp. 4G",1
"Endozoicomonas gorgoniicola",1
"Shewanella khirikhana",5
"Idiomarina loihiensis",2
"Idiomarina abyssalis",1
"Pseudoalteromonas ostreae",2
"Alteromonas sp. M12",1
"Xanthomonas sp. NCPPB 2632",1
"Xanthomonas hortorum",1
"Xanthomonas nasturtii",1
"Xanthomonas arboricola",1
"Lysobacter firmicutimachus",1
"Lysobacter enzymogenes",1
"Dyella sp. GSA-30",1
"Dyella telluris",1
"Aeromonas popoffii",1
"Aeromonas veronii",1
"Aeromonas jandaei",1
"uncultured Succinivibrio sp.",1
"Rodentibacter pneumotropicus",2
"Actinobacillus succinogenes",2
"Haemophilus parainfluenzae",1
"Thiocystis violascens",1
"Rheinheimera sp. F8",1
"Thiocapsa bogorovii",1
"Thiohalocapsa sp. PB-PSB1",1
"Thiosocius teredinicola",1
"Acinetobacter baumannii",1
"Moraxella osloensis",1
"Coxiella burnetii",1
"Legionella cherrii",1
"gamma proteobacterium symbiont of Isorropodon perplexum",1
"Cardiobacterium hominis",1
"Candidatus Steffania adelgidicola",1
"uncultured Bradyrhizobium sp.",4
"Bradyrhizobium sp. CCBAU 53340",1
"Bradyrhizobium sp. sBnM-33",1
"Bradyrhizobium sp. CCBAU 51753",1
"Bradyrhizobium icense",1
"Bradyrhizobium elkanii",1
"Rhizobium sp. RCAM05350",1
"Rhizobium sp. ACO-34A",1
"Rhizobium ruizarguesonis",1
"Agrobacterium fabrum",1
"Agrobacterium tumefaciens",1
"Sinorhizobium meliloti",1
"Paradevosia shaoguanensis",1
"Devosia neptuniae",1
"Ochrobactrum quorumnocens",1
"Kaistia sp. 32K",1
"Enhydrobacter sp.",1
"Bosea vaviloviae",1
"Nitratireductor rhodophyticola",1
"Methylocystis sp. SC2",1
"Methylovirgula sp. 4M-Z18",1
"uncultured Cohaesibacter sp.",1
"uncultured Sphingomonadaceae bacterium",8
"Sphingomonas sp. AAP5",2
"Novosphingopyxis iocasae",2
"Sphingobium chlorophenolicum",1
"Rhizorhabdus phycosphaerae",1
"Parasedimentitalea marina",2
"Paracoccus versutus",1
"Thioclava sp. GXIMD4216",1
"Paracoccaceae bacterium",1
"Roseinatronobacter bogoriensis",1
"Pseudosulfitobacter sp. DSM 107133",1
"Roseovarius sp.",1
"Skermanella pratensis",1
"Rhodospirillales bacterium",1
"Alphaproteobacteria bacterium",1
"uncultured Alphaproteobacteria bacterium",1
"Caulobacter vibrioides",1
"Wolbachia endosymbiont of Dipetalonema caudispina",1
"Candidatus Gromoviella agglomerans",1
"Achromobacter xylosoxidans",2
"Pigmentiphaga sp. CHJ604",1
"Bordetella trematum",1
"Oligella ureolytica",1
"Burkholderia stabilis",2
"Paraburkholderia sp. SOS3",1
"Paraburkholderia caledonica",1
"Delftia lacustris",2
"Acidovorax sp. YS12",1
"Diaphorobacter sp. HDW4B",1
"Aquincola tertiaricarbonis",1
"Roseateles sp. UC29_93",1
"Inhella inkyongensis",1
"Xylophilus sp. GW821-FHT01B05",1
"Aquabacterium olei",1
"Oxalobacteraceae bacterium OTU3CINTB1",1
"Neisseria elongata",2
"Snodgrassella communis",1
"Wielerella bovis",1
"Silvimonas soli",1
"Niveibacterium sp. SC-1",1
"Niveibacterium microcysteis",1
"Thauera sp. WB-2",1
"Nitrosomonadaceae bacterium",1
"Flavobacterium sp. CS20",1
"Flavobacterium sp. M31R6",1
"Flavobacterium rivulicola",1
"Flavobacterium ginsengisoli",1
"Aquimarina sp. Aq107",1
"Imtechella halotolerans",1
"Changchengzhania lutea",1
"Chryseobacterium sp. POE27",2
"Segatella copri",2
"Paraprevotella xylaniphila",1
"Prevotella corporis",1
"Bacteroides graminisolvens",1
"uncultured Saccharicrinis sp.",1
"Spirosoma sp. KCTC 42546",1
"Spirosoma foliorum",1
"Mongoliitalea daihaiensis",1
"Marivirga tractuosa",1
"Runella slithyformis",1
"Flammeovirgaceae bacterium SG7u.111",1
"Mucilaginibacter sp. UC70_90",1
"Mucilaginibacter ginsenosidivorax",1
"Niabella yanshanensis",1
"Chitinophaga caeni",1
"Ignavibacteriaceae bacterium",1
"uncultured candidate division Zixibacteria bacterium",1
"Candidatus Zixiibacteriota bacterium",1
"Aliarcobacter faecis",4
"Campylobacter coli",3
"Helicobacter pylori",1
"Hydrogenimonas thermophila",1
"uncultured Planctomycetaceae bacterium",1
"Planctomycetales bacterium 10988",1
"Pirellulales bacterium",2
"Paludisphaera borealis",1
"Telmatocola sphagniphila",1
"Tepidisphaeraceae bacterium",1
"Opitutaceae bacterium TAV5",1
"uncultured Granulicella sp.",1
"Chloracidobacterium aggregatum",1
"Bryobacterales bacterium",1
"Thermoanaerobaculia bacterium",1
"Candidatus Nitrospira neomarina",2
"Nitrospirales bacterium",1
"Candidatus Manganitrophaceae bacterium",1
"Leptospira biflexa",1
"Turneriella parva",1
"Sphaerochaeta globosa",1
"Desulfomonile tiedjei",1
"Smithellaceae bacterium",1
"Spirobacillus cienkowskii",1
"Deltaproteobacteria bacterium",1
"Aquificota bacterium",1
"uncultured bacterium",56
"Deinococcus sp. QL22",1
"Deinococcus sonorensis",1
"Candidatus Nomurabacteria bacterium",2
"bacterium",1
"Saccharomyces cerevisiae",8593
"Saccharomyces paradoxus",53
"Saccharomyces boulardii (nom. inval.)",9
"Saccharomyces kudriavzevii",8
"Saccharomyces eubayanus",7
"Saccharomyces mikatae",4
"Saccharomyces pastorianus",5
"Saccharomyces bayanus",2
"Saccharomyces jurei",1
"Kluyveromyces dobzhanskii",1
"Eremothecium gossypii",1
"Maudiozyma barnettii",1
"Vanderwaltozyma polyspora",1
"[Candida] sp. (uncertain placement)",2
"Cyberlindnera meyerae",3
"Saccharomycodes ludwigii",1
"Meyerozyma guilliermondii",3
"Candida theae",1
"Candida jiufengensis",1
"Scheffersomyces stipitis",1
"Candidozyma auris",1
"Crinitomyces ghanaensis",1
"Lipomyces arxii",1
"Keissleriella rosacearum",13
"Trematosphaeria pertusa",1
"Alternaria rosae",1
"Alternaria ventricosa",1
"Ascochyta rabiei",1
"Dothidotthia symphoricarpi",1
"Lasiodiplodia theobromae",2
"Cercospora beticola",1
"Neohortaea acidophila",1
"Aspergillus campestris",1
"Aspergillus melleus",1
"Aspergillus heteromorphus",1
"Aspergillus clavatus",1
"Penicillium expansum",3
"Xeromyces bisporus",2
"Talaromyces purpureogenus",1
"Trichophyton benhamiae",1
"Grosmannia fruticeta",1
"Leptographium clavigerum",1
"Ceratostomella pyrenaica",1
"Pyricularia pennisetigena",1
"Chaetomium fimeti",1
"Daldinia decipiens",1
"Daldinia vernicosa",1
"Hypoxylon trugodes",1
"Cordyceps fumosorosea",1
"Emericellopsis cladophorae",1
"Thyridium curvatum",1
"Venustampulla echinocandica",1
"uncultured Ascomycota",2
"Schizosaccharomyces japonicus",1
"Cryptococcus neoformans",7171
"Cryptococcus neoformans AD hybrid",17
"Cryptococcus deuterogattii",11
"Cryptococcus gattii",7
"Cryptococcus decagattii",1
"Cryptococcus bacillisporus",1
"Cryptococcus sp. (in: basidiomycete fungi)",4
"Cryptococcus sp. SJ10L03",10
"Cryptococcus depauperatus",1
"Kwoniella dendrophila",1
"Kockovaella ogasawarensis",1
"Trimorphomyces sakaeraticus",1
"Laccaria bicolor",1
"Termitomyces sp.",1
"Pleurotus ostreatus",1
"Suillus bovinus",1
"Suillus subaureus",1
"Burgoa turficola",2
"Fomitopsis serialis",1
"Lentinus tigrinus",1
"uncultured Basidiomycota",2
"Tilletia controversa",1
"Melampsora laricis-populina",1
"uncultured fungus",7
"uncultured yeast",2
"uncultured Entrophospora",5
"Glomeromycota sp.",2
"Rhizomucor pusillus",1
"Homo sapiens",16
"Pan troglodytes",2
"Mandrillus leucophaeus",2
"Macaca thibetana",1
"Chlorocebus sabaeus",1
"Aotus nancymaae",1
"Callithrix jacchus",1
"Microcebus murinus",1
"Mus musculus",6
"Grammomys surdaster",2
"Rattus norvegicus",1
"Phodopus roborovskii",1
"Mesocricetus auratus",1
"Microtus ochrogaster",1
"Peromyscus maniculatus",1
"Fukomys damarensis",2
"Ictidomys tridecemlineatus",1
"Equus caballus",9
"Prionailurus bengalensis",1
"Hyaena hyaena",1
"Canis lupus",1
"Leptonychotes weddellii",1
"Vicugna pacos",2
"Ovis aries",1
"Sus scrofa",1
"Condylura cristata",1
"Erinaceus europaeus",1
"Myotis myotis",1
"Manis javanica",1
"Elephantulus edwardii",1
"Dasypus novemcinctus",1
"Petaurus breviceps",2
"Phascolarctos cinereus",1
"Ornithorhynchus anatinus",1
"Apteryx mantelli",12
"Prinia subflava",2
"Melozone crissalis",1
"Ficedula albicollis",1
"Malurus melanocephalus",1
"Meleagris gallopavo",3
"Oxyura jamaicensis",1
"Terrapene triunguis",1
"Anolis maynardi",1
"Anolis sagrei",1
"Anolis carolinensis",1
"Pantherophis guttatus",1
"Python bivittatus",1
"Varanus komodoensis",1
"Tiliqua scincoides",1
"Gekko japonicus",1
"Nanorana parkeri",1
"Bombina bombina",1
"Pungitius pungitius",3
"Gasterosteus aculeatus",1
"Anoplopoma fimbria",1
"Cyclopterus lumpus",1
"Dicentrarchus labrax",1
"Brachionichthys hirsutus",1
"Xiphophorus couchianus",1
"Girardinichthys multiradiatus",1
"Nothobranchius furzeri",1
"Oryzias latipes",1
"Acanthochromis polyacanthus",1
"Parambassis ranga",1
"Archocentrus centrarchus",1
"Hippocampus zosterae",2
"Dunckerocampus dactyliophorus",1
"Boleophthalmus pectinirostris",2
"Periophthalmus magnuspinnatus",1
"Scomber japonicus",1
"Anabas testudineus",1
"Melanogrammus aeglefinus",1
"Oncorhynchus tshawytscha",1
"Oncorhynchus keta",1
"Oncorhynchus gorbuscha",1
"Salvelinus namaycush",2
"Esox lucius",1
