species,A01_S1,A02_S2,A03_S3,A04_S4,A05_S5,A06_S6,A07_S7,A08_S8,A09_S9,A10_S10,A11_S11,A12_S12,B01_S13,B02_S14,B03_S15,B04_S16,B05_S17,B06_S18,B07_S19,B08_S20,B09_S21,B10_S22,B11_S23,B12_S24,Blank_S38,C01_S25,C02_S26,C03_S27,C04_S28,C05_S29,C06_S30,C07_S31,C08_S32,C09_S33,C10_S34,C11_S35,C12_S36,ENC_S37
Acinetobacter radioresistens,744,NA,NA,NA,NA,NA,NA,128,283,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacter ursingii,795,3679,101,662,570,187,10932,11157,539,423,NA,139,NA,NA,NA,NA,NA,NA,475,1300,3318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacter lwoffii,316,843,1682,362,102,NA,416,408,682,512,86,321,NA,NA,NA,372,NA,NA,NA,NA,118,NA,NA,NA,NA,402,666,NA,64,174,NA,196,227,249,242,NA,349,NA
Moraxella osloensis,2457,4759,865,777,752,495,856,429,318,1146,505,2186,391,102,165,327,197,298,499,202,1106,151,170,174,NA,3238,4522,627,892,1336,1066,2033,1913,2607,3138,1082,4025,NA
Moraxella sp. K02,136,197,NA,NA,NA,NA,76,NA,NA,86,NA,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,175,NA,NA,63,NA,73,84,128,146,NA,185,NA
Moraxella sp. K23,156,234,NA,NA,117,NA,112,NA,NA,106,NA,313,NA,NA,NA,NA,NA,NA,NA,NA,118,NA,NA,NA,NA,257,378,NA,NA,80,NA,194,179,275,233,NA,273,NA
Moraxella sp. DOX410,159,139,NA,NA,138,NA,NA,NA,NA,114,NA,303,NA,NA,NA,NA,NA,NA,NA,NA,160,NA,NA,NA,NA,236,282,NA,NA,88,NA,181,142,204,203,NA,318,NA
Enterobacter hormaechei,967,1819,NA,NA,NA,NA,784,1190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pantoea sp. Nvir,543,NA,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pantoea agglomerans,145,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,70,136,NA,NA,NA,NA,NA,NA,NA
Stenotrophomonas maltophilia,1241,10091,166,375,181,NA,2837,3677,204,108,NA,94,NA,NA,NA,NA,NA,NA,115,280,3139,NA,NA,NA,NA,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xanthomonas campestris,174,140,282,618,NA,NA,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haemophilus parainfluenzae,592,416,489,335,210,56,151,133,157,308,525,1199,227,317,288,147,255,137,406,199,10627,192,180,175,NA,533,754,170,122,820,2323,250,331,202,135,NA,667,NA
Aggregatibacter sp. 2125159857,130,82,99,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neisseria sicca,459,341,310,NA,121,NA,NA,NA,85,NA,NA,209,NA,NA,NA,NA,NA,NA,NA,NA,282,NA,NA,NA,NA,172,589,118,115,148,356,115,NA,179,174,NA,400,NA
Neisseria elongata,323,326,291,117,173,NA,140,129,186,119,51,212,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,137,NA,NA,NA,61,NA,NA,NA,NA,NA,68,NA
Neisseria subflava,327,360,349,496,314,117,219,301,529,243,546,1391,NA,NA,94,NA,184,NA,161,169,785,NA,NA,NA,NA,636,367,169,108,148,409,111,179,NA,115,NA,245,NA
Neisseria sp. CP9,139,130,117,NA,NA,NA,NA,NA,NA,NA,NA,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,562,92,NA,NA,138,NA,NA,NA,NA,NA,148,NA
Neisseria mucosa,182,190,151,NA,136,NA,NA,120,87,NA,NA,184,NA,NA,NA,NA,NA,NA,NA,NA,115,NA,NA,NA,NA,95,220,NA,NA,NA,249,NA,NA,143,NA,NA,210,NA
Morococcus cerebrosus,100,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,102,NA,NA,NA,NA,NA,97,NA
Kingella oralis,55,168,59,48,94,NA,NA,NA,50,42,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Comamonas terrigena,82,NA,76,170,NA,NA,776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agrobacterium tumefaciens,76,76,NA,NA,NA,NA,131,NA,127,102,82,212,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agrobacterium pusense,127,422,NA,753,355,NA,400,376,NA,149,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brevundimonas diminuta,148,NA,128,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sphingobium sp. WTD-1,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prevotella melaninogenica,452,505,201,496,455,91,435,258,475,184,140,311,NA,NA,114,63,96,NA,80,NA,239,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,NA
Prevotella nigrescens,271,324,115,367,483,134,136,138,165,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prevotella denticola,66,101,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prevotella veroralis,51,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Segatella oris,159,122,NA,105,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Porphyromonas endodontalis,84,NA,NA,132,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chryseobacterium manosquense,719,9453,NA,237,101,NA,142,120,NA,94,49,366,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,139,111,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA
Capnocytophaga gingivalis,94,61,74,64,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capnocytophaga granulosa,89,77,75,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capnocytophaga sputigena,82,128,NA,112,154,NA,NA,NA,95,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,257,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,NA
Capnocytophaga leadbetteri,88,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sphingobacterium mizutaii,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sphingobacterium spiritivorum,50,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campylobacter concisus,58,46,NA,53,70,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cutibacterium acnes,3727,4266,21511,14233,9113,4777,7527,16374,7656,30215,8837,25777,45523,134856,60430,57614,138216,71470,120984,136494,1207576,74160,75924,49337,136,2582,11496,1077,2479,3064,2974,4335,8241,4039,7477,400,12020,NA
Tessaracoccus flavescens,60,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinomyces sp. oral taxon 169,490,1063,291,251,653,164,255,162,461,221,72,170,NA,NA,NA,58,123,NA,112,NA,1603,NA,NA,NA,NA,NA,88,NA,NA,NA,76,NA,NA,62,NA,NA,166,NA
Actinomyces sp. oral taxon 171,187,370,123,257,545,152,230,126,2737,593,NA,44,95,NA,NA,NA,NA,NA,47,NA,730,61,NA,NA,NA,64,123,NA,NA,NA,50,NA,NA,113,NA,NA,71,NA
Actinomyces sp. HMT 175,355,685,215,182,495,140,155,130,289,93,NA,110,NA,NA,NA,NA,NA,NA,NA,NA,973,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,NA
Actinomyces sp. oral taxon 414,44,129,NA,127,67,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA
Actinomyces oris,932,2060,581,531,1738,377,415,305,988,489,113,321,109,NA,104,148,402,120,269,246,6607,196,179,81,NA,202,354,NA,108,174,223,113,NA,384,147,NA,557,NA
Actinomyces naeslundii,173,413,127,215,238,75,114,66,205,443,185,492,NA,NA,NA,NA,NA,NA,NA,NA,286,NA,NA,NA,NA,227,317,100,82,250,507,125,89,179,119,NA,627,NA
Actinomyces viscosus,128,274,83,168,244,NA,85,NA,198,71,NA,78,NA,NA,NA,NA,NA,NA,81,NA,1190,NA,NA,NA,NA,NA,154,NA,NA,NA,NA,NA,NA,220,NA,NA,105,NA
Actinomyces massiliensis,60,294,56,220,482,115,203,60,223,259,173,177,NA,NA,NA,NA,NA,NA,NA,58,209,NA,51,NA,NA,65,111,NA,NA,122,250,48,NA,53,44,NA,152,NA
Schaalia odontolytica,164,371,158,439,347,99,169,147,380,180,96,441,NA,NA,81,NA,77,NA,54,NA,306,NA,NA,NA,NA,74,86,NA,NA,44,44,NA,NA,NA,44,NA,99,NA
Schaalia sp. HMT-172,65,214,59,213,NA,NA,68,49,157,67,NA,234,NA,NA,101,NA,88,NA,63,NA,326,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rothia dentocariosa,1293,1750,691,852,4337,754,680,711,3512,2011,716,3169,171,175,108,185,573,167,454,175,10738,507,98,141,NA,225,473,276,121,279,371,233,184,830,280,NA,1436,NA
Rothia mucilaginosa,384,432,341,1989,1194,266,342,635,880,460,900,2949,78,233,113,73,352,110,205,184,1645,123,78,99,NA,436,427,124,163,293,437,221,92,216,190,NA,529,NA
Rothia terrae,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rothia aeria,42,58,NA,NA,126,NA,NA,41,121,389,223,876,NA,NA,NA,NA,NA,NA,NA,NA,602,NA,NA,NA,NA,55,169,47,64,156,439,NA,NA,119,66,NA,171,NA
Kocuria palustris,294,622,280,366,193,156,899,69,130,217,206,203,56,47,69,NA,NA,NA,186,NA,260,NA,NA,NA,NA,132,112,103,123,117,68,187,NA,75,723,NA,141,NA
Kocuria rhizophila,126,178,501,333,102,212,250,190,NA,394,142,604,416,173,440,447,418,416,828,374,1696,201,405,421,NA,2902,1408,767,506,744,643,1956,549,986,2015,NA,1372,NA
Brachybacterium sp. GU-2,100,125,126,NA,NA,NA,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brachybacterium sp. GPGPB12,67,88,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium matruchotii,426,976,210,522,319,86,338,187,754,323,193,210,NA,NA,49,NA,NA,NA,53,NA,122,NA,56,NA,NA,86,323,NA,75,107,160,73,NA,57,64,NA,252,NA
Corynebacterium durum,179,331,147,108,350,90,113,300,432,101,NA,107,NA,NA,NA,NA,NA,NA,NA,NA,603,62,NA,NA,NA,83,334,NA,71,74,68,47,58,189,72,NA,163,NA
Corynebacterium argentoratense,140,282,65,71,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium dentalis,102,NA,501,47,NA,NA,57,NA,NA,134,NA,NA,9355,800,1551,269,114,249,320,99,860,NA,NA,68,NA,96,107,NA,142,57,NA,42,59,NA,44,NA,43,NA
Corynebacterium tuberculostearicum,149,196,801,1304,344,215,321,810,187,683,266,437,1522,885,978,840,3620,5246,3070,1080,7653,1005,1771,1593,NA,257,537,NA,183,459,477,249,83,1992,274,NA,471,NA
Corynebacterium pseudodiphtheriticum,55,NA,54,64,57,NA,470,158,NA,56,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,865,120,54,603,212,97,251,464,390,NA,269,NA
Corynebacterium amycolatum,138,NA,208,271,NA,NA,NA,NA,NA,NA,NA,NA,1631,288,1023,NA,NA,NA,131,NA,359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodococcus erythropolis,191,NA,NA,281,373,160,676,NA,487,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. PDNC021,89,77,146,NA,85,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptococcus mitis,1124,625,833,660,1756,347,311,547,492,574,257,755,565,847,488,689,918,312,1375,615,37140,850,386,452,NA,924,2208,395,315,1568,4711,526,407,664,413,NA,1259,NA
Streptococcus gwangjuensis,93,NA,NA,NA,154,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,71,NA,88,NA,2419,NA,NA,NA,NA,100,110,NA,NA,177,767,NA,NA,NA,NA,NA,86,NA
Streptococcus toyakuensis,95,NA,NA,NA,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,NA,124,NA,3913,73,NA,NA,NA,NA,152,NA,NA,107,322,NA,NA,NA,NA,NA,106,NA
Streptococcus oralis,1408,1145,744,687,2290,533,849,798,1294,1129,564,1464,224,224,237,232,249,147,426,194,6930,236,142,118,NA,385,710,197,155,459,1200,445,222,329,199,NA,432,NA
Streptococcus sp. oral taxon 061,95,76,93,NA,72,NA,64,NA,138,57,120,267,NA,NA,NA,NA,NA,NA,NA,NA,304,NA,NA,NA,NA,NA,NA,NA,NA,48,80,NA,NA,NA,NA,NA,45,NA
Streptococcus sp. Marseille-Q3533,80,74,80,NA,65,NA,65,NA,101,50,79,200,NA,NA,NA,NA,NA,NA,NA,NA,196,NA,NA,NA,NA,149,74,NA,NA,54,119,NA,NA,NA,NA,NA,69,NA
Streptococcus sp. SN-1,119,70,86,NA,189,NA,NA,NA,NA,NA,NA,78,75,NA,70,NA,104,NA,108,NA,3065,63,NA,NA,NA,89,227,NA,NA,166,412,NA,NA,85,NA,NA,129,NA
Streptococcus sp. K0074,126,92,94,82,211,NA,NA,NA,81,NA,NA,109,100,NA,81,79,112,NA,151,NA,3344,64,NA,75,NA,118,234,NA,NA,190,474,NA,NA,NA,80,NA,139,NA
Streptococcus sp. KHUD_011,115,NA,NA,91,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,128,NA,3810,64,NA,NA,NA,NA,147,NA,NA,124,321,NA,NA,NA,NA,NA,112,NA
Streptococcus sp. DTU_2020_1001019_1_SI_AUS_MUR_006,73,78,NA,56,104,NA,NA,NA,59,NA,56,125,NA,NA,NA,NA,62,NA,71,NA,693,NA,NA,NA,NA,61,81,NA,NA,53,123,NA,NA,NA,NA,NA,64,NA
Streptococcus sp. oral taxon 431,67,59,NA,67,110,NA,NA,NA,98,NA,75,139,NA,NA,NA,NA,NA,NA,67,NA,609,NA,NA,NA,NA,50,80,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA
Streptococcus sp. 116-D4,59,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,1342,NA,NA,NA,NA,64,179,NA,NA,83,250,NA,NA,62,NA,NA,79,NA
Streptococcus sp. DTU_2020_1000888_1_SI_GRL_NUU_041A,95,143,NA,NA,222,NA,NA,NA,102,78,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptococcus sanguinis,766,1147,465,345,1788,439,360,486,884,730,264,807,114,69,49,75,129,64,101,NA,1573,111,NA,NA,NA,246,527,112,NA,215,459,121,92,332,94,NA,813,NA
Streptococcus gordonii,292,386,139,126,221,NA,59,69,106,155,97,192,68,NA,101,208,87,68,197,55,1301,145,50,53,NA,407,683,155,46,205,258,146,135,121,184,NA,3389,NA
Streptococcus pneumoniae,326,190,215,143,599,166,88,97,179,298,75,170,143,115,126,138,383,NA,591,88,9137,258,69,382,NA,643,609,271,NA,591,1270,123,167,166,119,NA,458,NA
Streptococcus cristatus,176,218,134,103,124,NA,63,90,156,135,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,297,NA,NA,NA,NA,50,83,NA,NA,44,122,NA,NA,NA,NA,NA,178,NA
Streptococcus anginosus,143,122,162,228,280,86,216,167,123,NA,NA,139,NA,NA,NA,NA,NA,NA,NA,NA,505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptococcus salivarius,268,694,185,807,354,140,303,367,482,294,207,1542,NA,130,253,NA,204,NA,206,NA,1548,110,121,89,NA,NA,NA,NA,NA,NA,112,NA,NA,NA,NA,NA,102,NA
Streptococcus thermophilus,110,68,242,65,51,72,402,215,53,2490,1096,295,46,NA,NA,52,297,NA,48,335,350,774,62,86,NA,139,269,NA,46,57,62,826,300,90,85,NA,324,NA
Streptococcus parasanguinis,132,272,96,262,177,NA,134,197,291,260,430,670,NA,67,106,NA,105,NA,114,NA,626,80,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA
Granulicatella adiacens,223,193,112,145,186,NA,104,95,354,235,271,587,NA,NA,NA,NA,NA,NA,40,NA,321,NA,NA,NA,NA,95,64,NA,NA,44,61,44,NA,NA,NA,NA,91,NA
Lactobacillus crispatus,99,271,545,214,173,240,2140,985,226,1370,693,867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enterococcus faecalis,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abiotrophia defectiva,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229,864,74,NA,80,123,69,84,325,103,NA,1324,NA
Staphylococcus epidermidis,360,815,1214,1825,2232,940,1970,2600,850,2185,762,2412,2750,2895,2089,1088,2403,3068,4040,3146,16679,3219,3899,2806,NA,323,570,356,131,890,1082,748,831,1557,637,NA,1466,NA
Staphylococcus hominis,235,334,938,1414,1784,1084,407,824,179,1052,286,747,4031,920,2138,1547,2082,2328,1053,653,2419,1220,2191,1209,NA,146,248,351,60,1617,1760,347,188,466,153,NA,916,NA
Staphylococcus capitis,242,243,415,700,1582,683,539,1266,441,1944,528,3296,334,469,367,96,199,302,620,409,1511,630,499,467,NA,461,418,196,178,771,1161,458,2468,1041,376,NA,3226,NA
Staphylococcus pasteuri,126,310,257,88,294,120,179,303,83,306,103,240,65,NA,59,NA,56,196,128,NA,165,NA,100,45,NA,NA,51,50,NA,NA,NA,49,44,141,46,NA,115,NA
Staphylococcus haemolyticus,127,91,152,612,172,193,174,233,97,489,97,475,78,NA,NA,43,45,153,158,NA,254,NA,45,48,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA
Staphylococcus warneri,58,69,64,236,856,474,583,969,231,507,155,636,NA,NA,NA,NA,NA,NA,112,NA,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,68,NA,174,NA
Gemella haemolysans,138,134,175,107,244,45,NA,148,73,51,NA,82,83,58,83,148,197,56,250,73,3147,161,58,112,NA,334,900,110,NA,415,667,129,155,141,69,NA,463,NA
