#0	../long_SG/processed_data/metagenomic/bracken/A01_S1.bracken (211262 reads)
#1	../long_SG/processed_data/metagenomic/bracken/A02_S2.bracken (251413 reads)
#2	../long_SG/processed_data/metagenomic/bracken/A03_S3.bracken (306026 reads)
#3	../long_SG/processed_data/metagenomic/bracken/A04_S4.bracken (328167 reads)
#4	../long_SG/processed_data/metagenomic/bracken/A05_S5.bracken (279811 reads)
#5	../long_SG/processed_data/metagenomic/bracken/A06_S6.bracken (141974 reads)
#6	../long_SG/processed_data/metagenomic/bracken/A07_S7.bracken (183615 reads)
#7	../long_SG/processed_data/metagenomic/bracken/A08_S8.bracken (301035 reads)
#8	../long_SG/processed_data/metagenomic/bracken/A09_S9.bracken (172982 reads)
#9	../long_SG/processed_data/metagenomic/bracken/A10_S10.bracken (200361 reads)
#10	../long_SG/processed_data/metagenomic/bracken/A11_S11.bracken (55890 reads)
#11	../long_SG/processed_data/metagenomic/bracken/A12_S12.bracken (366817 reads)
#12	../long_SG/processed_data/metagenomic/bracken/B01_S13.bracken (240016 reads)
#13	../long_SG/processed_data/metagenomic/bracken/B02_S14.bracken (273250 reads)
#14	../long_SG/processed_data/metagenomic/bracken/B03_S15.bracken (222497 reads)
#15	../long_SG/processed_data/metagenomic/bracken/B04_S16.bracken (171871 reads)
#16	../long_SG/processed_data/metagenomic/bracken/B05_S17.bracken (561882 reads)
#17	../long_SG/processed_data/metagenomic/bracken/B06_S18.bracken (259745 reads)
#18	../long_SG/processed_data/metagenomic/bracken/B07_S19.bracken (397990 reads)
#19	../long_SG/processed_data/metagenomic/bracken/B08_S20.bracken (318878 reads)
#20	../long_SG/processed_data/metagenomic/bracken/B09_S21.bracken (3172844 reads)
#21	../long_SG/processed_data/metagenomic/bracken/B10_S22.bracken (193138 reads)
#22	../long_SG/processed_data/metagenomic/bracken/B11_S23.bracken (344705 reads)
#23	../long_SG/processed_data/metagenomic/bracken/B12_S24.bracken (247047 reads)
#24	../long_SG/processed_data/metagenomic/bracken/Blank_S38.bracken (6364 reads)
#25	../long_SG/processed_data/metagenomic/bracken/C01_S25.bracken (93550 reads)
#26	../long_SG/processed_data/metagenomic/bracken/C02_S26.bracken (176127 reads)
#27	../long_SG/processed_data/metagenomic/bracken/C03_S27.bracken (56527 reads)
#28	../long_SG/processed_data/metagenomic/bracken/C04_S28.bracken (52386 reads)
#29	../long_SG/processed_data/metagenomic/bracken/C05_S29.bracken (224497 reads)
#30	../long_SG/processed_data/metagenomic/bracken/C06_S30.bracken (161597 reads)
#31	../long_SG/processed_data/metagenomic/bracken/C07_S31.bracken (93115 reads)
#32	../long_SG/processed_data/metagenomic/bracken/C08_S32.bracken (294785 reads)
#33	../long_SG/processed_data/metagenomic/bracken/C09_S33.bracken (71717 reads)
#34	../long_SG/processed_data/metagenomic/bracken/C10_S34.bracken (75790 reads)
#35	../long_SG/processed_data/metagenomic/bracken/C11_S35.bracken (38374 reads)
#36	../long_SG/processed_data/metagenomic/bracken/C12_S36.bracken (139646 reads)
#37	../long_SG/processed_data/metagenomic/bracken/ENC_S37.bracken (2858 reads)
x	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
10	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.744	0.698	0.734	0.678	0.615	0.852	0.721	0.791	0.764	0.967	0.635	0.780	0.712	0.958	0.467	0.587	0.671	0.574	0.710	0.616	0.451	0.747	0.349	0.335	0.961	0.501	0.949
11	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.379	0.521	0.428	0.507	0.299	0.425	0.320	0.439	0.804	0.512	0.210	0.293	0.990	0.746	0.476	0.898	0.868	0.312	0.523	0.729	0.159	0.756	0.756	0.987	0.603	0.989
12	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.321	0.145	0.258	0.459	0.177	0.307	0.251	0.868	0.279	0.272	0.139	0.989	0.712	0.370	0.867	0.834	0.315	0.422	0.653	0.390	0.692	0.695	0.983	0.550	0.987
13	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.227	0.258	0.350	0.230	0.228	0.086	0.842	0.200	0.322	0.314	0.991	0.743	0.428	0.889	0.857	0.511	0.476	0.695	0.556	0.738	0.732	0.991	0.595	0.989
14	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.161	0.459	0.129	0.315	0.239	0.873	0.174	0.265	0.179	0.989	0.703	0.350	0.865	0.830	0.387	0.404	0.642	0.455	0.689	0.687	0.988	0.539	0.987
15	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.541	0.227	0.405	0.323	0.899	0.084	0.355	0.250	0.984	0.626	0.367	0.830	0.776	0.474	0.367	0.574	0.536	0.619	0.607	0.984	0.443	0.981
16	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.401	0.214	0.284	0.700	0.497	0.246	0.393	0.995	0.846	0.641	0.938	0.920	0.484	0.661	0.826	0.353	0.839	0.849	0.994	0.737	0.995
17	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.253	0.191	0.852	0.185	0.224	0.191	0.990	0.727	0.408	0.882	0.844	0.376	0.436	0.681	0.440	0.702	0.715	0.989	0.563	0.989
18	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.157	0.780	0.352	0.151	0.237	0.994	0.781	0.527	0.907	0.886	0.342	0.553	0.760	0.326	0.775	0.786	0.989	0.640	0.993
19	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.817	0.266	0.249	0.231	0.992	0.761	0.474	0.901	0.870	0.403	0.515	0.725	0.455	0.752	0.758	0.991	0.623	0.991
20	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.885	0.804	0.856	0.999	0.962	0.911	0.986	0.982	0.875	0.908	0.960	0.835	0.964	0.965	0.997	0.932	0.999
21	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.298	0.265	0.987	0.657	0.395	0.848	0.804	0.495	0.396	0.602	0.552	0.644	0.642	0.987	0.480	0.985
22	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.171	0.993	0.782	0.504	0.909	0.879	0.307	0.543	0.743	0.205	0.770	0.773	0.992	0.650	0.991
23	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.990	0.721	0.390	0.879	0.839	0.205	0.437	0.671	0.291	0.707	0.707	0.989	0.564	0.988
24	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.936	0.967	0.956	0.941	0.986	0.974	0.883	0.990	0.921	0.947	0.968	0.968	0.453
25	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.465	0.530	0.500	0.607	0.512	0.304	0.700	0.295	0.281	0.898	0.392	0.941
26	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.788	0.711	0.312	0.236	0.447	0.423	0.511	0.477	0.966	0.314	0.968
27	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.543	0.836	0.789	0.683	0.877	0.638	0.622	0.805	0.751	0.947
28	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.775	0.717	0.582	0.826	0.480	0.479	0.894	0.653	0.930
29	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.314	0.584	0.198	0.624	0.636	0.979	0.488	0.984
30	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.492	0.446	0.532	0.561	0.972	0.365	0.971
31	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.654	0.313	0.295	0.954	0.383	0.940
32	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.699	0.688	0.984	0.555	0.988
33	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.206	0.936	0.393	0.923
34	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.936	0.377	0.939
35	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.969	0.972
36	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.964
37	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000
