"name"	"taxRank"	"taxID"	"Max"	"ZC1_S4.cladeReads"	"ZC2_S5.cladeReads"	"ZC3_S6.cladeReads"	"ZC4_S7.cladeReads"	"ZP1_S20.cladeReads"	"ZP2_S21.cladeReads"	"ZP3_S22.cladeReads"	"lineage"
"root><wbr>...><wbr>Bacillus rugosus"	"S"	2715209	66	59	66	60	45	41	59	50	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae>Bacillus"
"root><wbr>...><wbr>Bacillus cabrialesii"	"S"	2487276	42	42	33	36	18	35	37	42	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae>Bacillus"
"root><wbr>...><wbr>Staphylococcus aureus"	"S"	1280	39870	25005	20582	26156	25454	37336	38366	39870	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"root><wbr>...><wbr>Staphylococcus argenteus"	"S"	985002	62	41	27	45	46	54	62	36	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"root><wbr>...><wbr>Staphylococcus schweitzeri"	"S"	1654388	45	21	18	30	20	33	45	41	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"root><wbr>...><wbr>Staphylococcus simiae"	"S"	308354	21	12	10	16	11	17	21	13	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"root><wbr>...><wbr>Staphylococcus saprophyticus"	"S"	29385	29	12	NA	13	NA	28	29	15	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"root><wbr>...><wbr>Staphylococcus epidermidis"	"S"	1282	20	11	NA	10	NA	20	15	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"root><wbr>...><wbr>Staphylococcus hominis"	"S"	1290	11	10	NA	NA	NA	NA	NA	11	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"root><wbr>...><wbr>Listeria monocytogenes"	"S"	1639	40339	24049	20494	25342	27957	37941	38613	40339	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Listeriaceae>Listeria"
"root><wbr>...><wbr>Listeria innocua"	"S"	1642	448	341	159	273	377	325	448	407	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Listeriaceae>Listeria"
"root><wbr>...><wbr>Listeria welshimeri"	"S"	1643	67	62	35	55	30	67	56	57	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Listeriaceae>Listeria"
"root><wbr>...><wbr>Listeria swaminathanii"	"S"	2713501	89	59	40	77	76	89	83	71	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Listeriaceae>Listeria"
"root><wbr>...><wbr>Listeria seeligeri"	"S"	1640	43	38	21	36	22	41	43	30	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Listeriaceae>Listeria"
"root><wbr>...><wbr>Listeria ivanovii"	"S"	1638	177	25	22	106	28	124	89	177	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Listeriaceae>Listeria"
"root><wbr>...><wbr>Paenibacillus sp. FSL W8-0194"	"S"	2921711	13	12	13	NA	NA	NA	NA	12	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Paenibacillaceae>Paenibacillus>unclassified&nbsp;Paenibacillus"
"root><wbr>...><wbr>Enterococcus faecalis"	"S"	1351	39786	35070	30379	36911	32607	36653	37800	39786	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Lactobacillales>Enterococcaceae>Enterococcus"
"root><wbr>...><wbr>Limosilactobacillus fermentum"	"S"	1613	31514	17282	14305	16656	20415	28217	26634	31514	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Limosilactobacillus"
"root><wbr>...><wbr>Actinomyces oris"	"S"	544580	30	27	29	30	17	29	19	23	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Actinomycetales>Actinomycetaceae>Actinomyces"
"root><wbr>...><wbr>Salmonella enterica"	"S"	28901	55509	55509	53274	45505	35245	43204	42638	49424	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Salmonella"
"root><wbr>...><wbr>Salmonella bongori"	"S"	54736	395	72	213	51	23	137	395	22	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Salmonella"
"root><wbr>...><wbr>Escherichia coli"	"S"	562	41089	39485	41089	39923	27732	31642	25710	32627	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia"
"root><wbr>...><wbr>Escherichia albertii"	"S"	208962	96	96	67	69	46	56	44	40	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia"
"root><wbr>...><wbr>Escherichia marmotae"	"S"	1499973	60	60	29	32	27	21	19	30	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia"
"root><wbr>...><wbr>Escherichia sp. E4742"	"S"	2044467	45	45	32	36	13	16	13	23	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia>unclassified&nbsp;Escherichia"
"root><wbr>...><wbr>Escherichia fergusonii"	"S"	564	85	85	44	51	33	42	38	40	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia"
"root><wbr>...><wbr>Shigella flexneri"	"S"	623	2759	2601	1875	962	1277	800	2759	907	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Shigella"
"root><wbr>...><wbr>Shigella dysenteriae"	"S"	622	230	222	230	215	155	117	131	157	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Shigella"
"root><wbr>...><wbr>Shigella boydii"	"S"	621	311	311	293	158	126	282	193	290	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Shigella"
"root><wbr>...><wbr>Klebsiella pneumoniae"	"S"	573	119	119	75	68	77	38	52	67	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Klebsiella/Raoultella&nbsp;group>Klebsiella"
"root><wbr>...><wbr>Pseudomonas aeruginosa"	"S"	287	32199	22369	22898	17491	16230	27995	25607	32199	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;aeruginosa&nbsp;group"
"root><wbr>...><wbr>Pseudomonas sp. CIP-10"	"S"	2892442	677	677	433	510	534	454	310	315	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"root><wbr>...><wbr>Burkholderia multivorans"	"S"	87883	29	29	27	19	18	22	12	15	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>Burkholderia&nbsp;cepacia&nbsp;complex"
"root><wbr>...><wbr>Homo sapiens"	"S"	9606	146	111	101	138	89	123	129	146	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Eutheria>Boreoeutheria>Euarchontoglires>Primates>Haplorrhini>Simiiformes>Catarrhini>Hominoidea>Hominidae>Homininae>Homo"
"root><wbr>...><wbr>Bacillus sp. PPSBB_11"	"S"	3125777	594	NA	240	NA	NA	594	NA	221	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae>Bacillus>unclassified&nbsp;Bacillus&nbsp;(in:&nbsp;firmicutes)"
"root><wbr>...><wbr>Enterococcus sp. 9D6_DIV0238"	"S"	1834192	15	NA	10	NA	NA	NA	NA	15	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Lactobacillales>Enterococcaceae>Enterococcus>unclassified&nbsp;Enterococcus"
"root><wbr>...><wbr>Shigella sonnei"	"S"	624	749	NA	749	62	NA	NA	123	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Shigella"
"root><wbr>...><wbr>Citrobacter freundii"	"S"	546	66	NA	59	66	NA	NA	62	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Citrobacter>Citrobacter&nbsp;freundii&nbsp;complex"
"root><wbr>...><wbr>Neptuniibacter halophilus"	"S"	651666	27	NA	15	NA	18	21	10	27	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Oceanospirillales>Oceanospirillaceae>Neptuniibacter"
"root><wbr>...><wbr>Stenotrophomonas maltophilia"	"S"	40324	12	NA	NA	12	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Lysobacteraceae>Stenotrophomonas>Stenotrophomonas&nbsp;maltophilia&nbsp;group"
"root><wbr>...><wbr>Klebsiella michiganensis"	"S"	1134687	192	NA	NA	NA	192	177	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Klebsiella/Raoultella&nbsp;group>Klebsiella"
